日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,丹东之眼中国边境摩天轮公园,多云,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,7567,09:00-18:00
2013-01-02,丹东之眼中国边境摩天轮公园,小雨,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,1334,09:00-18:00
2013-01-03,丹东之眼中国边境摩天轮公园,阴,14,,1185,09:00-18:00
2013-01-04,丹东之眼中国边境摩天轮公园,中雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5117,09:00-18:00
2013-01-05,丹东之眼中国边境摩天轮公园,多云,24,,2468,09:00-18:00
2013-01-06,丹东之眼中国边境摩天轮公园,中雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3306,09:00-18:00
2013-01-07,丹东之眼中国边境摩天轮公园,小雨,11,,2926,09:00-18:00
2013-01-08,丹东之眼中国边境摩天轮公园,阴,34,,5876,09:00-18:00
2013-01-09,丹东之眼中国边境摩天轮公园,晴,33,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,9986,09:00-18:00
2013-01-10,丹东之眼中国边境摩天轮公园,小雨,17,,4382,09:00-18:00
2013-01-11,丹东之眼中国边境摩天轮公园,阴,21,,1353,09:00-18:00
2013-01-12,丹东之眼中国边境摩天轮公园,阴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1148,09:00-18:00
2013-01-13,丹东之眼中国边境摩天轮公园,晴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,5729,09:00-18:00
2013-01-14,丹东之眼中国边境摩天轮公园,阴,13,,3590,09:00-18:00
2013-01-15,丹东之眼中国边境摩天轮公园,晴,24,,3298,09:00-18:00
2013-01-16,丹东之眼中国边境摩天轮公园,多云,22,,7263,09:00-18:00
2013-01-17,丹东之眼中国边境摩天轮公园,阴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,9498,09:00-18:00
2013-01-18,丹东之眼中国边境摩天轮公园,雪,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,1293,09:00-18:00
2013-01-19,丹东之眼中国边境摩天轮公园,阴,16,,9246,09:00-18:00
2013-01-20,丹东之眼中国边境摩天轮公园,中雨,9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7575,09:00-18:00
2013-01-21,丹东之眼中国边境摩天轮公园,小雨,20,,7071,09:00-18:00
2013-01-22,丹东之眼中国边境摩天轮公园,阴,3,,6844,09:00-18:00
2013-01-23,丹东之眼中国边境摩天轮公园,小雨,10,,5584,09:00-18:00
2013-01-24,丹东之眼中国边境摩天轮公园,小雨,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,5050,09:00-18:00
2013-01-25,丹东之眼中国边境摩天轮公园,中雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8940,09:00-18:00
2013-01-26,丹东之眼中国边境摩天轮公园,多云,26,,9018,09:00-18:00
2013-01-27,丹东之眼中国边境摩天轮公园,阴,4,,9209,09:00-18:00
2013-01-28,丹东之眼中国边境摩天轮公园,中雨,6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2417,09:00-18:00
2013-01-29,丹东之眼中国边境摩天轮公园,阴,26,,2271,09:00-18:00
2013-01-30,丹东之眼中国边境摩天轮公园,雪,17,,1150,09:00-18:00
2013-01-31,丹东之眼中国边境摩天轮公园,阴,26,,3593,09:00-18:00
2013-02-01,丹东之眼中国边境摩天轮公园,小雨,31,,8677,09:00-18:00
2013-02-02,丹东之眼中国边境摩天轮公园,中雨,21,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9429,09:00-18:00
2013-02-03,丹东之眼中国边境摩天轮公园,晴,2,,2038,09:00-18:00
2013-02-04,丹东之眼中国边境摩天轮公园,小雨,34,,8997,09:00-18:00
2013-02-05,丹东之眼中国边境摩天轮公园,阴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,544,09:00-18:00
2013-02-06,丹东之眼中国边境摩天轮公园,小雨,22,,4394,09:00-18:00
2013-02-07,丹东之眼中国边境摩天轮公园,大雨,28,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7697,09:00-18:00
2013-02-08,丹东之眼中国边境摩天轮公园,晴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,2250,09:00-18:00
2013-02-09,丹东之眼中国边境摩天轮公园,多云,23,,3177,09:00-18:00
2013-02-10,丹东之眼中国边境摩天轮公园,晴,28,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,2706,09:00-18:00
2013-02-11,丹东之眼中国边境摩天轮公园,中雨,-5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,897,09:00-18:00
2013-02-12,丹东之眼中国边境摩天轮公园,雪,8,,8982,09:00-18:00
2013-02-13,丹东之眼中国边境摩天轮公园,阴,4,,4233,09:00-18:00
2013-02-14,丹东之眼中国边境摩天轮公园,晴,29,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,1006,09:00-18:00
2013-02-15,丹东之眼中国边境摩天轮公园,大雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5439,09:00-18:00
2013-02-16,丹东之眼中国边境摩天轮公园,晴,33,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,8018,09:00-18:00
2013-02-17,丹东之眼中国边境摩天轮公园,大雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8436,09:00-18:00
2013-02-18,丹东之眼中国边境摩天轮公园,中雨,-6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1694,09:00-18:00
2013-02-19,丹东之眼中国边境摩天轮公园,阴,28,,1681,09:00-18:00
2013-02-20,丹东之眼中国边境摩天轮公园,阴,6,,9095,09:00-18:00
2013-02-21,丹东之眼中国边境摩天轮公园,中雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1440,09:00-18:00
2013-02-22,丹东之眼中国边境摩天轮公园,小雨,13,,1178,09:00-18:00
2013-02-23,丹东之眼中国边境摩天轮公园,小雨,27,,9437,09:00-18:00
2013-02-24,丹东之眼中国边境摩天轮公园,小雨,9,,4898,09:00-18:00
2013-02-25,丹东之眼中国边境摩天轮公园,雪,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1315,09:00-18:00
