日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,劳动公园,雪,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,1827,09:00-18:00
2013-01-02,劳动公园,阴,12,,620,09:00-18:00
2013-01-03,劳动公园,阴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,961,09:00-18:00
2013-01-04,劳动公园,晴,35,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,6433,09:00-18:00
2013-01-05,劳动公园,大雨,6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8694,09:00-18:00
2013-01-06,劳动公园,小雨,28,,1985,09:00-18:00
2013-01-07,劳动公园,多云,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,4915,09:00-18:00
2013-01-08,劳动公园,阴,3,,2567,09:00-18:00
2013-01-09,劳动公园,小雨,24,,4943,09:00-18:00
2013-01-10,劳动公园,雪,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,5966,09:00-18:00
2013-01-11,劳动公园,阴,14,,5216,09:00-18:00
2013-01-12,劳动公园,晴,14,,8071,09:00-18:00
2013-01-13,劳动公园,晴,4,,1959,09:00-18:00
2013-01-14,劳动公园,大雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5667,09:00-18:00
2013-01-15,劳动公园,雪,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,8610,09:00-18:00
2013-01-16,劳动公园,雪,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,1988,09:00-18:00
2013-01-17,劳动公园,多云,19,,2466,09:00-18:00
2013-01-18,劳动公园,多云,21,,5449,09:00-18:00
2013-01-19,劳动公园,中雨,4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8022,09:00-18:00
2013-01-20,劳动公园,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,882,09:00-18:00
2013-01-21,劳动公园,雪,11,,1009,09:00-18:00
2013-01-22,劳动公园,阴,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,4215,09:00-18:00
2013-01-23,劳动公园,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3264,09:00-18:00
2013-01-24,劳动公园,大雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4085,09:00-18:00
2013-01-25,劳动公园,小雨,1,,5910,09:00-18:00
2013-01-26,劳动公园,雪,30,,8898,09:00-18:00
2013-01-27,劳动公园,小雨,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,9074,09:00-18:00
2013-01-28,劳动公园,阴,30,,3692,09:00-18:00
2013-01-29,劳动公园,大雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1720,09:00-18:00
2013-01-30,劳动公园,大雨,27,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7862,09:00-18:00
2013-01-31,劳动公园,大雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7493,09:00-18:00
2013-02-01,劳动公园,雪,0,,2831,09:00-18:00
2013-02-02,劳动公园,小雨,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,9598,09:00-18:00
2013-02-03,劳动公园,阴,29,,5698,09:00-18:00
2013-02-04,劳动公园,晴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,4468,09:00-18:00
2013-02-05,劳动公园,大雨,9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6914,09:00-18:00
2013-02-06,劳动公园,中雨,-5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1619,09:00-18:00
2013-02-07,劳动公园,晴,32,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,9274,09:00-18:00
2013-02-08,劳动公园,雪,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,2949,09:00-18:00
2013-02-09,劳动公园,阴,14,,5860,09:00-18:00
2013-02-10,劳动公园,多云,29,,5847,09:00-18:00
2013-02-11,劳动公园,晴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1166,09:00-18:00
2013-02-12,劳动公园,多云,20,,9304,09:00-18:00
2013-02-13,劳动公园,多云,5,,1756,09:00-18:00
2013-02-14,劳动公园,晴,2,,4115,09:00-18:00
2013-02-15,劳动公园,雪,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,3424,09:00-18:00
2013-02-16,劳动公园,大雨,0,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5629,09:00-18:00
2013-02-17,劳动公园,雪,0,,7895,09:00-18:00
2013-02-18,劳动公园,阴,2,,7547,09:00-18:00
2013-02-19,劳动公园,小雨,6,,4028,09:00-18:00
2013-02-20,劳动公园,雪,29,,7147,09:00-18:00
2013-02-21,劳动公园,大雨,27,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3562,09:00-18:00
2013-02-22,劳动公园,多云,34,,1674,09:00-18:00
2013-02-23,劳动公园,晴,18,,3618,09:00-18:00
2013-02-24,劳动公园,多云,11,,5844,09:00-18:00
2013-02-25,劳动公园,晴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1233,09:00-18:00
2013-02-26,劳动公园,雪,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,6389,09:00-18:00
2013-02-27,劳动公园,阴,18,,6742,09:00-18:00
2013-02-28,劳动公园,多云,22,,7082,09:00-18:00
2013-03-01,劳动公园,大雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1285,09:00-18:00
2013-03-02,劳动公园,中雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4608,09:00-18:00
2013-03-03,劳动公园,晴,10,,2584,09:00-18:00
2013-03-04,劳动公园,中雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2470,09:00-18:00
2013-03-05,劳动公园,晴,14,,9676,09:00-18:00
2013-03-06,劳动公园,大雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2289,09:00-18:00
2013-03-07,劳动公园,中雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3827,09:00-18:00
2013-03-08,劳动公园,小雨,0,,7908,09:00-18:00
2013-03-09,劳动公园,中雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7097,09:00-18:00
2013-03-10,劳动公园,中雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,635,09:00-18:00
2013-03-11,劳动公园,中雨,4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4271,09:00-18:00
2013-03-12,劳动公园,多云,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,4452,09:00-18:00
2013-03-13,劳动公园,小雨,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,7038,09:00-18:00
2013-03-14,劳动公园,雪,32,,6280,09:00-18:00
2013-03-15,劳动公园,雪,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,5288,09:00-18:00
2013-03-16,劳动公园,小雨,21,,8726,09:00-18:00
