日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,抚顺战犯管理所,雪,22,,8199,09:00-18:00
2013-01-02,抚顺战犯管理所,中雨,8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2604,09:00-18:00
2013-01-03,抚顺战犯管理所,晴,13,,3654,09:00-18:00
2013-01-04,抚顺战犯管理所,中雨,27,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5619,09:00-18:00
2013-01-05,抚顺战犯管理所,雪,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,7713,09:00-18:00
2013-01-06,抚顺战犯管理所,阴,31,,7600,09:00-18:00
2013-01-07,抚顺战犯管理所,大雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3547,09:00-18:00
2013-01-08,抚顺战犯管理所,小雨,12,,6812,09:00-18:00
2013-01-09,抚顺战犯管理所,晴,24,,9618,09:00-18:00
2013-01-10,抚顺战犯管理所,晴,5,,9083,09:00-18:00
2013-01-11,抚顺战犯管理所,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9149,09:00-18:00
2013-01-12,抚顺战犯管理所,晴,4,,3659,09:00-18:00
2013-01-13,抚顺战犯管理所,晴,1,,8415,09:00-18:00
2013-01-14,抚顺战犯管理所,中雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4828,09:00-18:00
2013-01-15,抚顺战犯管理所,阴,18,,5502,09:00-18:00
2013-01-16,抚顺战犯管理所,小雨,13,,1627,09:00-18:00
2013-01-17,抚顺战犯管理所,晴,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,2404,09:00-18:00
2013-01-18,抚顺战犯管理所,晴,24,,4538,09:00-18:00
2013-01-19,抚顺战犯管理所,晴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,9572,09:00-18:00
2013-01-20,抚顺战犯管理所,多云,16,,1767,09:00-18:00
2013-01-21,抚顺战犯管理所,多云,10,,3431,09:00-18:00
2013-01-22,抚顺战犯管理所,多云,5,,5220,09:00-18:00
2013-01-23,抚顺战犯管理所,大雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5947,09:00-18:00
2013-01-24,抚顺战犯管理所,中雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9252,09:00-18:00
2013-01-25,抚顺战犯管理所,大雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3938,09:00-18:00
2013-01-26,抚顺战犯管理所,中雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4545,09:00-18:00
2013-01-27,抚顺战犯管理所,小雨,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,2026,09:00-18:00
2013-01-28,抚顺战犯管理所,多云,10,,656,09:00-18:00
2013-01-29,抚顺战犯管理所,大雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3009,09:00-18:00
2013-01-30,抚顺战犯管理所,大雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6108,09:00-18:00
2013-01-31,抚顺战犯管理所,阴,32,,1082,09:00-18:00
2013-02-01,抚顺战犯管理所,雪,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,2622,09:00-18:00
2013-02-02,抚顺战犯管理所,晴,3,,2063,09:00-18:00
2013-02-03,抚顺战犯管理所,阴,11,,9989,09:00-18:00
2013-02-04,抚顺战犯管理所,小雨,32,,4425,09:00-18:00
2013-02-05,抚顺战犯管理所,阴,2,,3082,09:00-18:00
2013-02-06,抚顺战犯管理所,中雨,7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6542,09:00-18:00
2013-02-07,抚顺战犯管理所,中雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4407,09:00-18:00
2013-02-08,抚顺战犯管理所,雪,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,6005,09:00-18:00
2013-02-09,抚顺战犯管理所,中雨,-4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9222,09:00-18:00
2013-02-10,抚顺战犯管理所,小雨,21,,5688,09:00-18:00
