日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,朝阳北塔,晴,2,,5223,09:00-18:00
2013-01-02,朝阳北塔,阴,28,,8051,09:00-18:00
2013-01-03,朝阳北塔,阴,34,,4549,09:00-18:00
2013-01-04,朝阳北塔,中雨,7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4108,09:00-18:00
2013-01-05,朝阳北塔,大雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6168,09:00-18:00
2013-01-06,朝阳北塔,雪,2,,9302,09:00-18:00
2013-01-07,朝阳北塔,多云,23,,3614,09:00-18:00
2013-01-08,朝阳北塔,小雨,33,,5657,09:00-18:00
2013-01-09,朝阳北塔,多云,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,1521,09:00-18:00
2013-01-10,朝阳北塔,雪,2,,3145,09:00-18:00
2013-01-11,朝阳北塔,阴,14,,9379,09:00-18:00
2013-01-12,朝阳北塔,大雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7043,09:00-18:00
2013-01-13,朝阳北塔,雪,34,,1097,09:00-18:00
2013-01-14,朝阳北塔,雪,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,8003,09:00-18:00
2013-01-15,朝阳北塔,多云,15,,8698,09:00-18:00
2013-01-16,朝阳北塔,多云,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,7599,09:00-18:00
2013-01-17,朝阳北塔,小雨,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,8224,09:00-18:00
2013-01-18,朝阳北塔,阴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,9681,09:00-18:00
2013-01-19,朝阳北塔,小雨,4,,8012,09:00-18:00
2013-01-20,朝阳北塔,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,9309,09:00-18:00
2013-01-21,朝阳北塔,中雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5701,09:00-18:00
2013-01-22,朝阳北塔,中雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7861,09:00-18:00
2013-01-23,朝阳北塔,雪,29,,9501,09:00-18:00
2013-01-24,朝阳北塔,多云,15,,8994,09:00-18:00
2013-01-25,朝阳北塔,中雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5272,09:00-18:00
2013-01-26,朝阳北塔,小雨,29,,5568,09:00-18:00
2013-01-27,朝阳北塔,小雨,18,,4795,09:00-18:00
2013-01-28,朝阳北塔,中雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7926,09:00-18:00
2013-01-29,朝阳北塔,晴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,8258,09:00-18:00
2013-01-30,朝阳北塔,多云,17,,9112,09:00-18:00
2013-01-31,朝阳北塔,中雨,25,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5759,09:00-18:00
2013-02-01,朝阳北塔,阴,5,,7174,09:00-18:00
2013-02-02,朝阳北塔,阴,23,,1551,09:00-18:00
2013-02-03,朝阳北塔,大雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9588,09:00-18:00
2013-02-04,朝阳北塔,多云,24,,7012,09:00-18:00
2013-02-05,朝阳北塔,多云,15,,507,09:00-18:00
2013-02-06,朝阳北塔,多云,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,7118,09:00-18:00
2013-02-07,朝阳北塔,雪,32,,3372,09:00-18:00
2013-02-08,朝阳北塔,阴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,9948,09:00-18:00
2013-02-09,朝阳北塔,晴,5,,6744,09:00-18:00
2013-02-10,朝阳北塔,小雨,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,1507,09:00-18:00
2013-02-11,朝阳北塔,多云,10,,3768,09:00-18:00
2013-02-12,朝阳北塔,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,5430,09:00-18:00
2013-02-13,朝阳北塔,中雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7887,09:00-18:00
