日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,平顶山森林公园,阴,23,,9263,09:00-18:00
2013-01-02,平顶山森林公园,阴,21,,8162,09:00-18:00
2013-01-03,平顶山森林公园,阴,18,,3716,09:00-18:00
2013-01-04,平顶山森林公园,大雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2346,09:00-18:00
2013-01-05,平顶山森林公园,雪,10,,3733,09:00-18:00
2013-01-06,平顶山森林公园,雪,11,,7647,09:00-18:00
2013-01-07,平顶山森林公园,中雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9354,09:00-18:00
2013-01-08,平顶山森林公园,晴,9,,3044,09:00-18:00
2013-01-09,平顶山森林公园,小雨,5,,1225,09:00-18:00
2013-01-10,平顶山森林公园,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4316,09:00-18:00
2013-01-11,平顶山森林公园,雪,0,,5748,09:00-18:00
2013-01-12,平顶山森林公园,晴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,4076,09:00-18:00
2013-01-13,平顶山森林公园,多云,16,,4086,09:00-18:00
2013-01-14,平顶山森林公园,晴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,8164,09:00-18:00
2013-01-15,平顶山森林公园,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7376,09:00-18:00
2013-01-16,平顶山森林公园,多云,31,,7040,09:00-18:00
2013-01-17,平顶山森林公园,晴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,7070,09:00-18:00
2013-01-18,平顶山森林公园,大雨,0,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5117,09:00-18:00
2013-01-19,平顶山森林公园,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7830,09:00-18:00
2013-01-20,平顶山森林公园,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7859,09:00-18:00
2013-01-21,平顶山森林公园,大雨,9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5516,09:00-18:00
2013-01-22,平顶山森林公园,多云,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,5658,09:00-18:00
2013-01-23,平顶山森林公园,多云,30,,6676,09:00-18:00
2013-01-24,平顶山森林公园,小雨,35,,8497,09:00-18:00
2013-01-25,平顶山森林公园,雪,30,,9382,09:00-18:00
2013-01-26,平顶山森林公园,多云,33,,9135,09:00-18:00
2013-01-27,平顶山森林公园,晴,28,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,9639,09:00-18:00
2013-01-28,平顶山森林公园,阴,16,,9582,09:00-18:00
2013-01-29,平顶山森林公园,晴,3,,7367,09:00-18:00
2013-01-30,平顶山森林公园,多云,20,,5264,09:00-18:00
2013-01-31,平顶山森林公园,雪,19,,2089,09:00-18:00
2013-02-01,平顶山森林公园,中雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3759,09:00-18:00
2013-02-02,平顶山森林公园,晴,5,,730,09:00-18:00
2013-02-03,平顶山森林公园,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,8756,09:00-18:00
