日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,莫子山公园,多云,1,,656,09:00-18:00
2013-01-02,莫子山公园,大雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1669,09:00-18:00
2013-01-03,莫子山公园,多云,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,3804,09:00-18:00
2013-01-04,莫子山公园,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7502,09:00-18:00
2013-01-05,莫子山公园,阴,17,,552,09:00-18:00
2013-01-06,莫子山公园,多云,34,,3814,09:00-18:00
2013-01-07,莫子山公园,晴,30,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,1916,09:00-18:00
2013-01-08,莫子山公园,多云,26,,1029,09:00-18:00
2013-01-09,莫子山公园,小雨,30,,9517,09:00-18:00
2013-01-10,莫子山公园,中雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5634,09:00-18:00
2013-01-11,莫子山公园,雪,24,,7786,09:00-18:00
2013-01-12,莫子山公园,晴,10,,2031,09:00-18:00
2013-01-13,莫子山公园,大雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4318,09:00-18:00
2013-01-14,莫子山公园,小雨,25,,2034,09:00-18:00
2013-01-15,莫子山公园,中雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6184,09:00-18:00
2013-01-16,莫子山公园,阴,10,,8569,09:00-18:00
2013-01-17,莫子山公园,小雨,12,,8641,09:00-18:00
2013-01-18,莫子山公园,大雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9289,09:00-18:00
2013-01-19,莫子山公园,中雨,-4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9465,09:00-18:00
2013-01-20,莫子山公园,多云,23,,4525,09:00-18:00
2013-01-21,莫子山公园,晴,19,,564,09:00-18:00
2013-01-22,莫子山公园,大雨,7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3476,09:00-18:00
2013-01-23,莫子山公园,晴,32,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,9346,09:00-18:00
2013-01-24,莫子山公园,晴,31,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,6701,09:00-18:00
2013-01-25,莫子山公园,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6097,09:00-18:00
2013-01-26,莫子山公园,多云,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,9885,09:00-18:00
2013-01-27,莫子山公园,多云,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,6305,09:00-18:00
2013-01-28,莫子山公园,中雨,4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,811,09:00-18:00
2013-01-29,莫子山公园,中雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5367,09:00-18:00
2013-01-30,莫子山公园,小雨,13,,1800,09:00-18:00
2013-01-31,莫子山公园,多云,13,,5245,09:00-18:00
2013-02-01,莫子山公园,中雨,-5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7223,09:00-18:00
2013-02-02,莫子山公园,晴,20,,6728,09:00-18:00
2013-02-03,莫子山公园,中雨,34,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4155,09:00-18:00
2013-02-04,莫子山公园,雪,33,,5842,09:00-18:00
2013-02-05,莫子山公园,小雨,31,,9953,09:00-18:00
2013-02-06,莫子山公园,中雨,6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,698,09:00-18:00
2013-02-07,莫子山公园,大雨,30,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2750,09:00-18:00
2013-02-08,莫子山公园,多云,35,,8137,09:00-18:00
2013-02-09,莫子山公园,阴,5,,5887,09:00-18:00
2013-02-10,莫子山公园,阴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,7217,09:00-18:00
2013-02-11,莫子山公园,大雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6210,09:00-18:00
2013-02-12,莫子山公园,多云,12,,6271,09:00-18:00
2013-02-13,莫子山公园,晴,4,,7498,09:00-18:00
2013-02-14,莫子山公园,大雨,-4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4675,09:00-18:00
2013-02-15,莫子山公园,晴,16,,838,09:00-18:00
2013-02-16,莫子山公园,大雨,28,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7899,09:00-18:00
2013-02-17,莫子山公园,小雨,6,,7114,09:00-18:00
2013-02-18,莫子山公园,晴,6,,9547,09:00-18:00
2013-02-19,莫子山公园,大雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6816,09:00-18:00
2013-02-20,莫子山公园,晴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,858,09:00-18:00
2013-02-21,莫子山公园,晴,12,,2791,09:00-18:00
2013-02-22,莫子山公园,阴,2,,3127,09:00-18:00
2013-02-23,莫子山公园,中雨,8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6839,09:00-18:00
2013-02-24,莫子山公园,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9442,09:00-18:00
2013-02-25,莫子山公园,阴,20,,6888,09:00-18:00
2013-02-26,莫子山公园,阴,15,,6294,09:00-18:00
2013-02-27,莫子山公园,阴,19,,7054,09:00-18:00
2013-02-28,莫子山公园,大雨,-6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4571,09:00-18:00
2013-03-01,莫子山公园,晴,14,,1594,09:00-18:00
2013-03-02,莫子山公园,小雨,22,,3441,09:00-18:00
2013-03-03,莫子山公园,阴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,5999,09:00-18:00
2013-03-04,莫子山公园,阴,25,,1359,09:00-18:00
2013-03-05,莫子山公园,大雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7378,09:00-18:00
2013-03-06,莫子山公园,中雨,-1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7796,09:00-18:00
2013-03-07,莫子山公园,小雨,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,1208,09:00-18:00
2013-03-08,莫子山公园,阴,24,,2663,09:00-18:00
2013-03-09,莫子山公园,小雨,21,,9112,09:00-18:00
2013-03-10,莫子山公园,阴,11,,1427,09:00-18:00
