日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,盘锦江南风情园,阴,15,,3389,09:00-18:00
2013-01-02,盘锦江南风情园,雪,29,,5965,09:00-18:00
2013-01-03,盘锦江南风情园,中雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3278,09:00-18:00
2013-01-04,盘锦江南风情园,雪,29,,8485,09:00-18:00
2013-01-05,盘锦江南风情园,阴,19,,3677,09:00-18:00
2013-01-06,盘锦江南风情园,多云,13,,5548,09:00-18:00
2013-01-07,盘锦江南风情园,多云,6,,1979,09:00-18:00
2013-01-08,盘锦江南风情园,大雨,8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2304,09:00-18:00
2013-01-09,盘锦江南风情园,中雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3269,09:00-18:00
2013-01-10,盘锦江南风情园,雪,17,,5533,09:00-18:00
2013-01-11,盘锦江南风情园,晴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,6171,09:00-18:00
2013-01-12,盘锦江南风情园,晴,25,,2984,09:00-18:00
2013-01-13,盘锦江南风情园,晴,18,,9552,09:00-18:00
2013-01-14,盘锦江南风情园,小雨,21,,707,09:00-18:00
2013-01-15,盘锦江南风情园,多云,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1431,09:00-18:00
2013-01-16,盘锦江南风情园,大雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2438,09:00-18:00
2013-01-17,盘锦江南风情园,多云,2,,9027,09:00-18:00
2013-01-18,盘锦江南风情园,晴,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,7649,09:00-18:00
2013-01-19,盘锦江南风情园,中雨,11,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2691,09:00-18:00
2013-01-20,盘锦江南风情园,阴,21,,5385,09:00-18:00
2013-01-21,盘锦江南风情园,阴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,3396,09:00-18:00
2013-01-22,盘锦江南风情园,小雨,16,,518,09:00-18:00
2013-01-23,盘锦江南风情园,阴,22,,7172,09:00-18:00
2013-01-24,盘锦江南风情园,小雨,21,,5631,09:00-18:00
2013-01-25,盘锦江南风情园,晴,3,,1987,09:00-18:00
2013-01-26,盘锦江南风情园,中雨,21,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3334,09:00-18:00
2013-01-27,盘锦江南风情园,晴,27,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,4850,09:00-18:00
2013-01-28,盘锦江南风情园,多云,23,,8021,09:00-18:00
2013-01-29,盘锦江南风情园,大雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3884,09:00-18:00
2013-01-30,盘锦江南风情园,小雨,6,,1097,09:00-18:00
2013-01-31,盘锦江南风情园,阴,21,,9662,09:00-18:00
2013-02-01,盘锦江南风情园,中雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4710,09:00-18:00
2013-02-02,盘锦江南风情园,阴,33,,8986,09:00-18:00
2013-02-03,盘锦江南风情园,阴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,5809,09:00-18:00
2013-02-04,盘锦江南风情园,中雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7049,09:00-18:00
2013-02-05,盘锦江南风情园,大雨,34,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6964,09:00-18:00
2013-02-06,盘锦江南风情园,阴,19,,8790,09:00-18:00
2013-02-07,盘锦江南风情园,雪,16,,3657,09:00-18:00
2013-02-08,盘锦江南风情园,晴,27,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,5173,09:00-18:00
2013-02-09,盘锦江南风情园,雪,20,,4794,09:00-18:00
2013-02-10,盘锦江南风情园,中雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7022,09:00-18:00
2013-02-11,盘锦江南风情园,多云,27,,8109,09:00-18:00
2013-02-12,盘锦江南风情园,多云,10,,3156,09:00-18:00
2013-02-13,盘锦江南风情园,大雨,30,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9229,09:00-18:00
2013-02-14,盘锦江南风情园,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2965,09:00-18:00
2013-02-15,盘锦江南风情园,大雨,6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2133,09:00-18:00
2013-02-16,盘锦江南风情园,阴,34,,5802,09:00-18:00
2013-02-17,盘锦江南风情园,中雨,7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6165,09:00-18:00
2013-02-18,盘锦江南风情园,大雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6739,09:00-18:00
2013-02-19,盘锦江南风情园,雪,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,3175,09:00-18:00
2013-02-20,盘锦江南风情园,雪,29,,9364,09:00-18:00
2013-02-21,盘锦江南风情园,晴,1,,6922,09:00-18:00
2013-02-22,盘锦江南风情园,大雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1349,09:00-18:00
2013-02-23,盘锦江南风情园,阴,19,,6795,09:00-18:00
2013-02-24,盘锦江南风情园,雪,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,5159,09:00-18:00
2013-02-25,盘锦江南风情园,雪,24,,7642,09:00-18:00
2013-02-26,盘锦江南风情园,小雨,35,,4218,09:00-18:00
2013-02-27,盘锦江南风情园,阴,27,,5588,09:00-18:00
2013-02-28,盘锦江南风情园,阴,4,,2727,09:00-18:00
2013-03-01,盘锦江南风情园,小雨,21,,8880,09:00-18:00
2013-03-02,盘锦江南风情园,雪,16,,4093,09:00-18:00
2013-03-03,盘锦江南风情园,阴,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,3470,09:00-18:00
2013-03-04,盘锦江南风情园,晴,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,5844,09:00-18:00
2013-03-05,盘锦江南风情园,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,7954,09:00-18:00
2013-03-06,盘锦江南风情园,多云,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,7412,09:00-18:00
2013-03-07,盘锦江南风情园,阴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,4771,09:00-18:00
2013-03-08,盘锦江南风情园,大雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6619,09:00-18:00
2013-03-09,盘锦江南风情园,多云,3,,7668,09:00-18:00
2013-03-10,盘锦江南风情园,阴,0,,1243,09:00-18:00
2013-03-11,盘锦江南风情园,多云,34,,7067,09:00-18:00
2013-03-12,盘锦江南风情园,大雨,25,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2794,09:00-18:00
2013-03-13,盘锦江南风情园,中雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4563,09:00-18:00
2013-03-14,盘锦江南风情园,晴,20,,5915,09:00-18:00
2013-03-15,盘锦江南风情园,阴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,1130,09:00-18:00
2013-03-16,盘锦江南风情园,多云,28,,2614,09:00-18:00
2013-03-17,盘锦江南风情园,阴,31,,2820,09:00-18:00
2013-03-18,盘锦江南风情园,大雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9377,09:00-18:00
2013-03-19,盘锦江南风情园,晴,4,,8019,09:00-18:00
2013-03-20,盘锦江南风情园,晴,21,,2345,09:00-18:00
2013-03-21,盘锦江南风情园,雪,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,3798,09:00-18:00
2013-03-22,盘锦江南风情园,雪,4,,7218,09:00-18:00
2013-03-23,盘锦江南风情园,阴,9,,8110,09:00-18:00
2013-03-24,盘锦江南风情园,大雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8040,09:00-18:00
2013-03-25,盘锦江南风情园,中雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5129,09:00-18:00
2013-03-26,盘锦江南风情园,阴,2,,9983,09:00-18:00
2013-03-27,盘锦江南风情园,晴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,519,09:00-18:00
2013-03-28,盘锦江南风情园,多云,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,8958,09:00-18:00
2013-03-29,盘锦江南风情园,晴,25,,9492,09:00-18:00
2013-03-30,盘锦江南风情园,雪,8,,4025,09:00-18:00
2013-03-31,盘锦江南风情园,中雨,28,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1221,09:00-18:00
2013-04-01,盘锦江南风情园,阴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,1441,09:00-18:00
2013-04-02,盘锦江南风情园,晴,11,,7140,09:00-18:00
2013-04-03,盘锦江南风情园,阴,2,,4378,09:00-18:00
2013-04-04,盘锦江南风情园,中雨,34,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1250,09:00-18:00
2013-04-05,盘锦江南风情园,阴,21,,6153,09:00-18:00
2013-04-06,盘锦江南风情园,晴,12,,676,09:00-18:00
2013-04-07,盘锦江南风情园,晴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,3732,09:00-18:00
2013-04-08,盘锦江南风情园,多云,17,,1638,09:00-18:00
2013-04-09,盘锦江南风情园,晴,15,,8135,09:00-18:00
2013-04-10,盘锦江南风情园,小雨,12,,8284,09:00-18:00
2013-04-11,盘锦江南风情园,阴,2,,5298,09:00-18:00
2013-04-12,盘锦江南风情园,晴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,9030,09:00-18:00
2013-04-13,盘锦江南风情园,小雨,27,,2732,09:00-18:00
2013-04-14,盘锦江南风情园,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,949,09:00-18:00
2013-04-15,盘锦江南风情园,中雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8906,09:00-18:00
2013-04-16,盘锦江南风情园,多云,27,,9613,09:00-18:00
2013-04-17,盘锦江南风情园,晴,35,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,2790,09:00-18:00
2013-04-18,盘锦江南风情园,晴,2,,5180,09:00-18:00
2013-04-19,盘锦江南风情园,大雨,31,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1304,09:00-18:00
2013-04-20,盘锦江南风情园,阴,22,,5618,09:00-18:00
2013-04-21,盘锦江南风情园,大雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1128,09:00-18:00
2013-04-22,盘锦江南风情园,多云,15,,6830,09:00-18:00
2013-04-23,盘锦江南风情园,中雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7113,09:00-18:00
2013-04-24,盘锦江南风情园,多云,22,,7594,09:00-18:00
2013-04-25,盘锦江南风情园,多云,22,,7179,09:00-18:00
2013-04-26,盘锦江南风情园,中雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9673,09:00-18:00
2013-04-27,盘锦江南风情园,大雨,-6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8238,09:00-18:00
2013-04-28,盘锦江南风情园,阴,22,,2194,09:00-18:00
2013-04-29,盘锦江南风情园,小雨,10,,9291,09:00-18:00
2013-04-30,盘锦江南风情园,大雨,-1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3571,09:00-18:00
2013-05-01,盘锦江南风情园,小雨,21,,7358,09:00-18:00
2013-05-02,盘锦江南风情园,晴,6,,8618,09:00-18:00
2013-05-03,盘锦江南风情园,中雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8742,09:00-18:00
2013-05-04,盘锦江南风情园,多云,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,4343,09:00-18:00
2013-05-05,盘锦江南风情园,多云,35,,6668,09:00-18:00
2013-05-06,盘锦江南风情园,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,4415,09:00-18:00
2013-05-07,盘锦江南风情园,多云,10,,2486,09:00-18:00
2013-05-08,盘锦江南风情园,雪,8,,7478,09:00-18:00
2013-05-09,盘锦江南风情园,雪,23,,4863,09:00-18:00
2013-05-10,盘锦江南风情园,中雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9058,09:00-18:00
2013-05-11,盘锦江南风情园,中雨,0,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1536,09:00-18:00
2013-05-12,盘锦江南风情园,阴,24,,4224,09:00-18:00
2013-05-13,盘锦江南风情园,中雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9537,09:00-18:00
2013-05-14,盘锦江南风情园,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2687,09:00-18:00
2013-05-15,盘锦江南风情园,雪,2,,1110,09:00-18:00
2013-05-16,盘锦江南风情园,中雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3566,09:00-18:00
2013-05-17,盘锦江南风情园,阴,28,,1976,09:00-18:00
2013-05-18,盘锦江南风情园,多云,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,5776,09:00-18:00
2013-05-19,盘锦江南风情园,中雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7153,09:00-18:00
2013-05-20,盘锦江南风情园,晴,4,,8337,09:00-18:00
2013-05-21,盘锦江南风情园,晴,33,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,1098,09:00-18:00
2013-05-22,盘锦江南风情园,阴,14,,3490,09:00-18:00
2013-05-23,盘锦江南风情园,大雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5773,09:00-18:00
2013-05-24,盘锦江南风情园,雪,32,,4572,09:00-18:00
2013-05-25,盘锦江南风情园,小雨,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,1733,09:00-18:00
2013-05-26,盘锦江南风情园,大雨,18,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3376,09:00-18:00
2013-05-27,盘锦江南风情园,中雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1861,09:00-18:00
2013-05-28,盘锦江南风情园,小雨,7,,4489,09:00-18:00
2013-05-29,盘锦江南风情园,大雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,856,09:00-18:00
2013-05-30,盘锦江南风情园,多云,20,,4150,09:00-18:00
2013-05-31,盘锦江南风情园,小雨,15,,6760,09:00-18:00
2013-06-01,盘锦江南风情园,大雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2972,09:00-18:00
2013-06-02,盘锦江南风情园,雪,26,,4453,09:00-18:00
