日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,营口鸟浪广场,大雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5296,09:00-18:00
2013-01-02,营口鸟浪广场,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,841,09:00-18:00
2013-01-03,营口鸟浪广场,小雨,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,4357,09:00-18:00
2013-01-04,营口鸟浪广场,小雨,23,,4747,09:00-18:00
2013-01-05,营口鸟浪广场,大雨,-1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1734,09:00-18:00
2013-01-06,营口鸟浪广场,大雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9724,09:00-18:00
2013-01-07,营口鸟浪广场,中雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6927,09:00-18:00
2013-01-08,营口鸟浪广场,阴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,4343,09:00-18:00
2013-01-09,营口鸟浪广场,雪,14,,8242,09:00-18:00
2013-01-10,营口鸟浪广场,阴,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,5879,09:00-18:00
2013-01-11,营口鸟浪广场,多云,8,,7571,09:00-18:00
2013-01-12,营口鸟浪广场,阴,19,,3001,09:00-18:00
2013-01-13,营口鸟浪广场,大雨,30,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8631,09:00-18:00
2013-01-14,营口鸟浪广场,多云,10,,520,09:00-18:00
2013-01-15,营口鸟浪广场,阴,13,,3932,09:00-18:00
2013-01-16,营口鸟浪广场,中雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8666,09:00-18:00
2013-01-17,营口鸟浪广场,雪,27,,1747,09:00-18:00
2013-01-18,营口鸟浪广场,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9899,09:00-18:00
2013-01-19,营口鸟浪广场,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,7284,09:00-18:00
2013-01-20,营口鸟浪广场,中雨,0,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4056,09:00-18:00
2013-01-21,营口鸟浪广场,晴,22,,7602,09:00-18:00
2013-01-22,营口鸟浪广场,小雨,34,,4477,09:00-18:00
2013-01-23,营口鸟浪广场,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6130,09:00-18:00
2013-01-24,营口鸟浪广场,晴,26,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,2401,09:00-18:00
2013-01-25,营口鸟浪广场,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8283,09:00-18:00
2013-01-26,营口鸟浪广场,中雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6469,09:00-18:00
2013-01-27,营口鸟浪广场,小雨,2,,856,09:00-18:00
2013-01-28,营口鸟浪广场,中雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2731,09:00-18:00
2013-01-29,营口鸟浪广场,多云,29,,8513,09:00-18:00
2013-01-30,营口鸟浪广场,晴,22,,7858,09:00-18:00
2013-01-31,营口鸟浪广场,多云,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,7101,09:00-18:00
2013-02-01,营口鸟浪广场,中雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5077,09:00-18:00
2013-02-02,营口鸟浪广场,大雨,4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1132,09:00-18:00
2013-02-03,营口鸟浪广场,阴,32,,6927,09:00-18:00
2013-02-04,营口鸟浪广场,阴,33,,8605,09:00-18:00
2013-02-05,营口鸟浪广场,小雨,23,,3408,09:00-18:00
2013-02-06,营口鸟浪广场,晴,31,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,1486,09:00-18:00
2013-02-07,营口鸟浪广场,阴,14,,2626,09:00-18:00
2013-02-08,营口鸟浪广场,中雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5334,09:00-18:00
2013-02-09,营口鸟浪广场,晴,24,,6980,09:00-18:00
2013-02-10,营口鸟浪广场,大雨,31,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2188,09:00-18:00
2013-02-11,营口鸟浪广场,大雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5646,09:00-18:00
2013-02-12,营口鸟浪广场,多云,12,,9365,09:00-18:00
2013-02-13,营口鸟浪广场,中雨,21,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2619,09:00-18:00
2013-02-14,营口鸟浪广场,雪,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,1822,09:00-18:00
2013-02-15,营口鸟浪广场,雪,6,,4207,09:00-18:00
2013-02-16,营口鸟浪广场,阴,31,,4830,09:00-18:00
2013-02-17,营口鸟浪广场,大雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9641,09:00-18:00
2013-02-18,营口鸟浪广场,多云,4,,1883,09:00-18:00
2013-02-19,营口鸟浪广场,大雨,23,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,912,09:00-18:00
2013-02-20,营口鸟浪广场,晴,13,,3894,09:00-18:00
2013-02-21,营口鸟浪广场,中雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9612,09:00-18:00
2013-02-22,营口鸟浪广场,雪,10,,8097,09:00-18:00
2013-02-23,营口鸟浪广场,大雨,27,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5570,09:00-18:00
2013-02-24,营口鸟浪广场,多云,19,,673,09:00-18:00
2013-02-25,营口鸟浪广场,中雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2361,09:00-18:00
2013-02-26,营口鸟浪广场,小雨,35,,6897,09:00-18:00
2013-02-27,营口鸟浪广场,晴,6,,1606,09:00-18:00
2013-02-28,营口鸟浪广场,阴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,5192,09:00-18:00
2013-03-01,营口鸟浪广场,阴,1,,1362,09:00-18:00
2013-03-02,营口鸟浪广场,小雨,15,,4019,09:00-18:00
2013-03-03,营口鸟浪广场,阴,1,,5391,09:00-18:00
2013-03-04,营口鸟浪广场,晴,11,,9462,09:00-18:00
2013-03-05,营口鸟浪广场,阴,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1250,09:00-18:00
2013-03-06,营口鸟浪广场,大雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1137,09:00-18:00
