日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,东京城遗址公园,中雨,-6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7300,09:00-18:00
2013-01-02,东京城遗址公园,中雨,10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2716,09:00-18:00
2013-01-03,东京城遗址公园,晴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,9023,09:00-18:00
2013-01-04,东京城遗址公园,晴,14,,2579,09:00-18:00
2013-01-05,东京城遗址公园,小雨,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,9789,09:00-18:00
2013-01-06,东京城遗址公园,中雨,9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1466,09:00-18:00
2013-01-07,东京城遗址公园,中雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9384,09:00-18:00
2013-01-08,东京城遗址公园,中雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4690,09:00-18:00
2013-01-09,东京城遗址公园,雪,5,,8756,09:00-18:00
2013-01-10,东京城遗址公园,小雨,23,,2449,09:00-18:00
2013-01-11,东京城遗址公园,阴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,5289,09:00-18:00
2013-01-12,东京城遗址公园,阴,12,,534,09:00-18:00
2013-01-13,东京城遗址公园,阴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,5334,09:00-18:00
2013-01-14,东京城遗址公园,多云,22,,1008,09:00-18:00
2013-01-15,东京城遗址公园,中雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7067,09:00-18:00
2013-01-16,东京城遗址公园,小雨,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,7804,09:00-18:00
2013-01-17,东京城遗址公园,中雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6200,09:00-18:00
2013-01-18,东京城遗址公园,晴,9,,6060,09:00-18:00
2013-01-19,东京城遗址公园,雪,8,,3831,09:00-18:00
2013-01-20,东京城遗址公园,阴,35,,1181,09:00-18:00
2013-01-21,东京城遗址公园,雪,18,,1973,09:00-18:00
2013-01-22,东京城遗址公园,雪,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,9808,09:00-18:00
2013-01-23,东京城遗址公园,小雨,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,4354,09:00-18:00
2013-01-24,东京城遗址公园,阴,22,,9702,09:00-18:00
2013-01-25,东京城遗址公园,阴,33,,6100,09:00-18:00
2013-01-26,东京城遗址公园,小雨,6,,6443,09:00-18:00
2013-01-27,东京城遗址公园,中雨,34,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8118,09:00-18:00
2013-01-28,东京城遗址公园,大雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1646,09:00-18:00
2013-01-29,东京城遗址公园,小雨,24,,7463,09:00-18:00
2013-01-30,东京城遗址公园,雪,10,,6556,09:00-18:00
2013-01-31,东京城遗址公园,大雨,14,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1744,09:00-18:00
2013-02-01,东京城遗址公园,大雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1705,09:00-18:00
2013-02-02,东京城遗址公园,晴,31,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,4711,09:00-18:00
2013-02-03,东京城遗址公园,晴,3,,2125,09:00-18:00
2013-02-04,东京城遗址公园,阴,16,,8409,09:00-18:00
2013-02-05,东京城遗址公园,多云,12,,9289,09:00-18:00
2013-02-06,东京城遗址公园,大雨,5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4168,09:00-18:00
2013-02-07,东京城遗址公园,多云,28,,7226,09:00-18:00
2013-02-08,东京城遗址公园,晴,32,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,8146,09:00-18:00
2013-02-09,东京城遗址公园,雪,24,,1910,09:00-18:00
2013-02-10,东京城遗址公园,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,9670,09:00-18:00
2013-02-11,东京城遗址公园,小雨,27,,9890,09:00-18:00
2013-02-12,东京城遗址公园,小雨,30,,8847,09:00-18:00
2013-02-13,东京城遗址公园,大雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,524,09:00-18:00
2013-02-14,东京城遗址公园,大雨,-6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2943,09:00-18:00
2013-02-15,东京城遗址公园,多云,19,,3423,09:00-18:00
2013-02-16,东京城遗址公园,中雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8327,09:00-18:00
2013-02-17,东京城遗址公园,小雨,3,,4204,09:00-18:00
2013-02-18,东京城遗址公园,阴,12,,2157,09:00-18:00
2013-02-19,东京城遗址公园,中雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3790,09:00-18:00
2013-02-20,东京城遗址公园,中雨,11,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,705,09:00-18:00
2013-02-21,东京城遗址公园,中雨,12,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6484,09:00-18:00
2013-02-22,东京城遗址公园,晴,19,,4731,09:00-18:00
2013-02-23,东京城遗址公园,中雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9937,09:00-18:00
2013-02-24,东京城遗址公园,大雨,-4,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6101,09:00-18:00
2013-02-25,东京城遗址公园,大雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7452,09:00-18:00
2013-02-26,东京城遗址公园,雪,12,,924,09:00-18:00
2013-02-27,东京城遗址公园,晴,0,,3270,09:00-18:00
2013-02-28,东京城遗址公园,中雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,836,09:00-18:00
2013-03-01,东京城遗址公园,雪,33,,7015,09:00-18:00
2013-03-02,东京城遗址公园,雪,2,,7983,09:00-18:00
2013-03-03,东京城遗址公园,中雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9274,09:00-18:00
2013-03-04,东京城遗址公园,晴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,719,09:00-18:00
2013-03-05,东京城遗址公园,多云,28,,5199,09:00-18:00
2013-03-06,东京城遗址公园,中雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2792,09:00-18:00
2013-03-07,东京城遗址公园,阴,12,,3558,09:00-18:00
2013-03-08,东京城遗址公园,阴,19,,4322,09:00-18:00
2013-03-09,东京城遗址公园,中雨,23,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8370,09:00-18:00
2013-03-10,东京城遗址公园,大雨,10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1567,09:00-18:00
2013-03-11,东京城遗址公园,小雨,4,,1341,09:00-18:00
2013-03-12,东京城遗址公园,中雨,21,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2082,09:00-18:00
2013-03-13,东京城遗址公园,多云,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,2118,09:00-18:00
2013-03-14,东京城遗址公园,雪,29,,6340,09:00-18:00
2013-03-15,东京城遗址公园,晴,22,,9120,09:00-18:00
2013-03-16,东京城遗址公园,雪,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,556,09:00-18:00
2013-03-17,东京城遗址公园,晴,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,4176,09:00-18:00
2013-03-18,东京城遗址公园,小雨,27,,6101,09:00-18:00
2013-03-19,东京城遗址公园,中雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8200,09:00-18:00
2013-03-20,东京城遗址公园,小雨,16,,4802,09:00-18:00
2013-03-21,东京城遗址公园,阴,26,,9538,09:00-18:00
2013-03-22,东京城遗址公园,大雨,25,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8029,09:00-18:00
2013-03-23,东京城遗址公园,多云,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,8069,09:00-18:00
2013-03-24,东京城遗址公园,大雨,11,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1877,09:00-18:00
