日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,桂林公园,晴,20,,1781,09:00-18:00
2013-01-02,桂林公园,阴,4,,823,09:00-18:00
2013-01-03,桂林公园,多云,16,,6780,09:00-18:00
2013-01-04,桂林公园,小雨,18,,4662,09:00-18:00
2013-01-05,桂林公园,中雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3566,09:00-18:00
2013-01-06,桂林公园,中雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7611,09:00-18:00
2013-01-07,桂林公园,大雨,12,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2806,09:00-18:00
2013-01-08,桂林公园,小雨,13,,7240,09:00-18:00
2013-01-09,桂林公园,小雨,19,,954,09:00-18:00
2013-01-10,桂林公园,中雨,32,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1176,09:00-18:00
2013-01-11,桂林公园,晴,11,,3757,09:00-18:00
2013-01-12,桂林公园,雪,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,9058,09:00-18:00
2013-01-13,桂林公园,阴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,4274,09:00-18:00
2013-01-14,桂林公园,多云,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,6730,09:00-18:00
2013-01-15,桂林公园,大雨,35,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2403,09:00-18:00
2013-01-16,桂林公园,多云,32,,6997,09:00-18:00
2013-01-17,桂林公园,大雨,15,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1675,09:00-18:00
2013-01-18,桂林公园,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,8338,09:00-18:00
2013-01-19,桂林公园,小雨,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,2404,09:00-18:00
2013-01-20,桂林公园,晴,1,,7257,09:00-18:00
2013-01-21,桂林公园,阴,27,,4269,09:00-18:00
2013-01-22,桂林公园,多云,21,,2307,09:00-18:00
2013-01-23,桂林公园,大雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7473,09:00-18:00
2013-01-24,桂林公园,大雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7527,09:00-18:00
2013-01-25,桂林公园,大雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8658,09:00-18:00
2013-01-26,桂林公园,晴,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,5197,09:00-18:00
2013-01-27,桂林公园,多云,8,,4774,09:00-18:00
2013-01-28,桂林公园,阴,35,,4285,09:00-18:00
2013-01-29,桂林公园,晴,19,,9803,09:00-18:00
2013-01-30,桂林公园,小雨,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,2561,09:00-18:00
2013-01-31,桂林公园,雪,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,4525,09:00-18:00
