日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,锦州古塔历史文化公园,雪,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,4013,09:00-18:00
2013-01-02,锦州古塔历史文化公园,中雨,9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2812,09:00-18:00
2013-01-03,锦州古塔历史文化公园,晴,9,,2156,09:00-18:00
2013-01-04,锦州古塔历史文化公园,阴,33,,9972,09:00-18:00
2013-01-05,锦州古塔历史文化公园,小雨,18,,7522,09:00-18:00
2013-01-06,锦州古塔历史文化公园,晴,12,,5895,09:00-18:00
2013-01-07,锦州古塔历史文化公园,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,2612,09:00-18:00
2013-01-08,锦州古塔历史文化公园,多云,3,,4127,09:00-18:00
2013-01-09,锦州古塔历史文化公园,多云,34,,6693,09:00-18:00
2013-01-10,锦州古塔历史文化公园,大雨,31,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,502,09:00-18:00
2013-01-11,锦州古塔历史文化公园,雪,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,6309,09:00-18:00
2013-01-12,锦州古塔历史文化公园,大雨,28,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1350,09:00-18:00
2013-01-13,锦州古塔历史文化公园,阴,22,,5143,09:00-18:00
2013-01-14,锦州古塔历史文化公园,多云,15,,1459,09:00-18:00
2013-01-15,锦州古塔历史文化公园,大雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3908,09:00-18:00
2013-01-16,锦州古塔历史文化公园,多云,7,,2618,09:00-18:00
2013-01-17,锦州古塔历史文化公园,雪,2,,5112,09:00-18:00
2013-01-18,锦州古塔历史文化公园,大雨,24,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5468,09:00-18:00
2013-01-19,锦州古塔历史文化公园,雪,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,1807,09:00-18:00
2013-01-20,锦州古塔历史文化公园,晴,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,8236,09:00-18:00
2013-01-21,锦州古塔历史文化公园,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5295,09:00-18:00
2013-01-22,锦州古塔历史文化公园,晴,24,,9190,09:00-18:00
2013-01-23,锦州古塔历史文化公园,小雨,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,6738,09:00-18:00
2013-01-24,锦州古塔历史文化公园,中雨,22,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7901,09:00-18:00
2013-01-25,锦州古塔历史文化公园,大雨,-1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4627,09:00-18:00
2013-01-26,锦州古塔历史文化公园,雪,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,1210,09:00-18:00
2013-01-27,锦州古塔历史文化公园,大雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4066,09:00-18:00
2013-01-28,锦州古塔历史文化公园,晴,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,2433,09:00-18:00
2013-01-29,锦州古塔历史文化公园,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4780,09:00-18:00
2013-01-30,锦州古塔历史文化公园,大雨,16,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5162,09:00-18:00
2013-01-31,锦州古塔历史文化公园,大雨,18,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1548,09:00-18:00
2013-02-01,锦州古塔历史文化公园,阴,20,,4054,09:00-18:00
2013-02-02,锦州古塔历史文化公园,多云,22,,1944,09:00-18:00
2013-02-03,锦州古塔历史文化公园,阴,2,,1389,09:00-18:00
2013-02-04,锦州古塔历史文化公园,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1347,09:00-18:00
2013-02-05,锦州古塔历史文化公园,晴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,1342,09:00-18:00
2013-02-06,锦州古塔历史文化公园,多云,11,,5521,09:00-18:00
2013-02-07,锦州古塔历史文化公园,晴,12,,4663,09:00-18:00
2013-02-08,锦州古塔历史文化公园,雪,4,,8254,09:00-18:00
2013-02-09,锦州古塔历史文化公园,中雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4745,09:00-18:00
2013-02-10,锦州古塔历史文化公园,晴,35,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,7506,09:00-18:00
2013-02-11,锦州古塔历史文化公园,晴,3,,5507,09:00-18:00
2013-02-12,锦州古塔历史文化公园,雪,14,,4678,09:00-18:00
2013-02-13,锦州古塔历史文化公园,阴,35,,9630,09:00-18:00
2013-02-14,锦州古塔历史文化公园,阴,23,,6678,09:00-18:00
2013-02-15,锦州古塔历史文化公园,晴,11,,7064,09:00-18:00
2013-02-16,锦州古塔历史文化公园,阴,24,,4707,09:00-18:00
2013-02-17,锦州古塔历史文化公园,阴,17,,3843,09:00-18:00
2013-02-18,锦州古塔历史文化公园,大雨,18,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5090,09:00-18:00
2013-02-19,锦州古塔历史文化公园,大雨,8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3625,09:00-18:00
2013-02-20,锦州古塔历史文化公园,中雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8425,09:00-18:00
2013-02-21,锦州古塔历史文化公园,中雨,12,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1832,09:00-18:00
2013-02-22,锦州古塔历史文化公园,晴,11,,3594,09:00-18:00
2013-02-23,锦州古塔历史文化公园,小雨,23,,1597,09:00-18:00
2013-02-24,锦州古塔历史文化公园,阴,33,,6346,09:00-18:00
2013-02-25,锦州古塔历史文化公园,大雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9334,09:00-18:00
2013-02-26,锦州古塔历史文化公园,雪,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,7316,09:00-18:00
2013-02-27,锦州古塔历史文化公园,大雨,13,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,771,09:00-18:00
2013-02-28,锦州古塔历史文化公园,晴,33,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,1192,09:00-18:00
2013-03-01,锦州古塔历史文化公园,多云,16,,6391,09:00-18:00
2013-03-02,锦州古塔历史文化公园,阴,18,,677,09:00-18:00
2013-03-03,锦州古塔历史文化公园,阴,6,,5245,09:00-18:00
2013-03-04,锦州古塔历史文化公园,小雨,11,,8841,09:00-18:00
2013-03-05,锦州古塔历史文化公园,雪,14,,4187,09:00-18:00
2013-03-06,锦州古塔历史文化公园,小雨,8,,7695,09:00-18:00
2013-03-07,锦州古塔历史文化公园,阴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,9832,09:00-18:00
2013-03-08,锦州古塔历史文化公园,小雨,23,,8072,09:00-18:00
2013-03-09,锦州古塔历史文化公园,小雨,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,2682,09:00-18:00
2013-03-10,锦州古塔历史文化公园,雪,34,,9479,09:00-18:00
2013-03-11,锦州古塔历史文化公园,雪,29,,842,09:00-18:00
2013-03-12,锦州古塔历史文化公园,雪,18,,5589,09:00-18:00
2013-03-13,锦州古塔历史文化公园,中雨,-7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1786,09:00-18:00
2013-03-14,锦州古塔历史文化公园,多云,34,,5897,09:00-18:00
2013-03-15,锦州古塔历史文化公园,雪,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,8062,09:00-18:00
2013-03-16,锦州古塔历史文化公园,阴,22,,8832,09:00-18:00
2013-03-17,锦州古塔历史文化公园,雪,-8,提供热饮服务;提醒游客注意保暖;增加室内休息区,4675,09:00-18:00
2013-03-18,锦州古塔历史文化公园,阴,35,,5870,09:00-18:00
2013-03-19,锦州古塔历史文化公园,中雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1211,09:00-18:00
2013-03-20,锦州古塔历史文化公园,中雨,11,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2284,09:00-18:00
2013-03-21,锦州古塔历史文化公园,小雨,23,,4812,09:00-18:00
2013-03-22,锦州古塔历史文化公园,多云,6,,4405,09:00-18:00
2013-03-23,锦州古塔历史文化公园,阴,10,,4780,09:00-18:00
2013-03-24,锦州古塔历史文化公园,大雨,17,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5061,09:00-18:00
2013-03-25,锦州古塔历史文化公园,大雨,21,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1186,09:00-18:00
2013-03-26,锦州古塔历史文化公园,阴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,1263,09:00-18:00
2013-03-27,锦州古塔历史文化公园,阴,27,,2658,09:00-18:00
2013-03-28,锦州古塔历史文化公园,大雨,12,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1800,09:00-18:00
2013-03-29,锦州古塔历史文化公园,小雨,21,,1254,09:00-18:00
2013-03-30,锦州古塔历史文化公园,晴,33,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,4683,09:00-18:00
2013-03-31,锦州古塔历史文化公园,雪,7,,8655,09:00-18:00
2013-04-01,锦州古塔历史文化公园,中雨,25,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,7158,09:00-18:00
2013-04-02,锦州古塔历史文化公园,大雨,8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2377,09:00-18:00
