日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,解放广场,雪,4,,1767,09:00-18:00
2013-01-02,解放广场,多云,31,,6742,09:00-18:00
2013-01-03,解放广场,雪,16,,1651,09:00-18:00
2013-01-04,解放广场,大雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9711,09:00-18:00
2013-01-05,解放广场,晴,31,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,5800,09:00-18:00
2013-01-06,解放广场,小雨,18,,3283,09:00-18:00
2013-01-07,解放广场,大雨,-5,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8768,09:00-18:00
2013-01-08,解放广场,中雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8020,09:00-18:00
2013-01-09,解放广场,雪,9,,2553,09:00-18:00
2013-01-10,解放广场,大雨,1,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1571,09:00-18:00
2013-01-11,解放广场,阴,4,,8183,09:00-18:00
2013-01-12,解放广场,雪,27,,4834,09:00-18:00
2013-01-13,解放广场,中雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,782,09:00-18:00
2013-01-14,解放广场,多云,1,,1034,09:00-18:00
2013-01-15,解放广场,多云,12,,5322,09:00-18:00
2013-01-16,解放广场,大雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9239,09:00-18:00
2013-01-17,解放广场,小雨,25,,4332,09:00-18:00
2013-01-18,解放广场,晴,7,,9117,09:00-18:00
2013-01-19,解放广场,多云,15,,4330,09:00-18:00
2013-01-20,解放广场,阴,6,,3456,09:00-18:00
2013-01-21,解放广场,雪,26,,1079,09:00-18:00
2013-01-22,解放广场,雪,21,,4461,09:00-18:00
2013-01-23,解放广场,多云,6,,1491,09:00-18:00
2013-01-24,解放广场,大雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2680,09:00-18:00
2013-01-25,解放广场,晴,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,7553,09:00-18:00
2013-01-26,解放广场,多云,33,,1966,09:00-18:00
2013-01-27,解放广场,大雨,26,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4303,09:00-18:00
2013-01-28,解放广场,中雨,29,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3050,09:00-18:00
2013-01-29,解放广场,大雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5710,09:00-18:00
2013-01-30,解放广场,多云,33,,9130,09:00-18:00
2013-01-31,解放广场,中雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,8760,09:00-18:00
2013-02-01,解放广场,大雨,10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1154,09:00-18:00
2013-02-02,解放广场,晴,25,,4074,09:00-18:00
2013-02-03,解放广场,晴,28,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,3594,09:00-18:00
2013-02-04,解放广场,晴,2,,3032,09:00-18:00
2013-02-05,解放广场,中雨,20,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6373,09:00-18:00
2013-02-06,解放广场,阴,-6,提供热饮服务;提醒游客注意保暖;增加室内休息区,819,09:00-18:00
2013-02-07,解放广场,小雨,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,8084,09:00-18:00
2013-02-08,解放广场,雪,8,,7849,09:00-18:00
2013-02-09,解放广场,晴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,1473,09:00-18:00
2013-02-10,解放广场,阴,34,,7838,09:00-18:00
2013-02-11,解放广场,晴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,6710,09:00-18:00
2013-02-12,解放广场,小雨,21,,990,09:00-18:00
2013-02-13,解放广场,雪,22,,835,09:00-18:00
2013-02-14,解放广场,阴,29,,8351,09:00-18:00
2013-02-15,解放广场,小雨,13,,8629,09:00-18:00
2013-02-16,解放广场,阴,5,,6777,09:00-18:00
2013-02-17,解放广场,中雨,-9,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5089,09:00-18:00
2013-02-18,解放广场,晴,26,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,7754,09:00-18:00
2013-02-19,解放广场,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9351,09:00-18:00
