日期,景点名称,天气状况,温度,建议,预计客流量,最佳营业时间
2013-01-01,玉佛山风景区-二一九公园,小雨,17,,6663,09:00-18:00
2013-01-02,玉佛山风景区-二一九公园,雪,1,,6177,09:00-18:00
2013-01-03,玉佛山风景区-二一九公园,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,899,09:00-18:00
2013-01-04,玉佛山风景区-二一九公园,多云,7,,6415,09:00-18:00
2013-01-05,玉佛山风景区-二一九公园,阴,2,,1705,09:00-18:00
2013-01-06,玉佛山风景区-二一九公园,小雨,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,9464,09:00-18:00
2013-01-07,玉佛山风景区-二一九公园,阴,22,,6893,09:00-18:00
2013-01-08,玉佛山风景区-二一九公园,小雨,13,,4533,09:00-18:00
2013-01-09,玉佛山风景区-二一九公园,阴,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,6940,09:00-18:00
2013-01-10,玉佛山风景区-二一九公园,雪,0,,906,09:00-18:00
2013-01-11,玉佛山风景区-二一九公园,多云,3,,6453,09:00-18:00
2013-01-12,玉佛山风景区-二一九公园,晴,23,,7906,09:00-18:00
2013-01-13,玉佛山风景区-二一九公园,中雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2139,09:00-18:00
2013-01-14,玉佛山风景区-二一九公园,中雨,-2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1149,09:00-18:00
2013-01-15,玉佛山风景区-二一九公园,晴,28,增加遮阳设施;准备充足的饮用水;调整工作人员排班，增加中午时段的人手,9912,09:00-18:00
2013-01-16,玉佛山风景区-二一九公园,雪,27,,2182,09:00-18:00
2013-01-17,玉佛山风景区-二一九公园,阴,9,,7789,09:00-18:00
2013-01-18,玉佛山风景区-二一九公园,阴,21,,1934,09:00-18:00
2013-01-19,玉佛山风景区-二一九公园,小雨,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,8149,09:00-18:00
2013-01-20,玉佛山风景区-二一九公园,阴,1,,2992,09:00-18:00
2013-01-21,玉佛山风景区-二一九公园,大雨,6,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5095,09:00-18:00
2013-01-22,玉佛山风景区-二一九公园,雪,0,,9636,09:00-18:00
2013-01-23,玉佛山风景区-二一九公园,中雨,31,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1813,09:00-18:00
2013-01-24,玉佛山风景区-二一九公园,大雨,18,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3972,09:00-18:00
2013-01-25,玉佛山风景区-二一九公园,大雨,-8,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1888,09:00-18:00
2013-01-26,玉佛山风景区-二一九公园,多云,35,,9899,09:00-18:00
2013-01-27,玉佛山风景区-二一九公园,雪,14,,7295,09:00-18:00
2013-01-28,玉佛山风景区-二一九公园,多云,6,,3698,09:00-18:00
2013-01-29,玉佛山风景区-二一九公园,阴,26,,5121,09:00-18:00
2013-01-30,玉佛山风景区-二一九公园,晴,4,,5489,09:00-18:00
2013-01-31,玉佛山风景区-二一九公园,中雨,2,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,3861,09:00-18:00
2013-02-01,玉佛山风景区-二一九公园,晴,-9,提供热饮服务;提醒游客注意保暖;增加室内休息区,2570,09:00-18:00
2013-02-02,玉佛山风景区-二一九公园,阴,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,5840,09:00-18:00
2013-02-03,玉佛山风景区-二一九公园,大雨,18,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,2481,09:00-18:00
2013-02-04,玉佛山风景区-二一九公园,雪,11,,1426,09:00-18:00
2013-02-05,玉佛山风景区-二一九公园,中雨,23,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9590,09:00-18:00
2013-02-06,玉佛山风景区-二一九公园,多云,14,,4017,09:00-18:00
2013-02-07,玉佛山风景区-二一九公园,雪,16,,663,09:00-18:00
2013-02-08,玉佛山风景区-二一九公园,大雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,4073,09:00-18:00
2013-02-09,玉佛山风景区-二一九公园,中雨,33,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9498,09:00-18:00
2013-02-10,玉佛山风景区-二一九公园,中雨,-3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1502,09:00-18:00
2013-02-11,玉佛山风景区-二一九公园,阴,-10,提供热饮服务;提醒游客注意保暖;增加室内休息区,5583,09:00-18:00
2013-02-12,玉佛山风景区-二一九公园,大雨,30,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,1482,09:00-18:00
2013-02-13,玉佛山风景区-二一九公园,阴,-4,提供热饮服务;提醒游客注意保暖;增加室内休息区,3132,09:00-18:00
2013-02-14,玉佛山风景区-二一九公园,小雨,27,,2796,09:00-18:00
2013-02-15,玉佛山风景区-二一九公园,雪,-2,提供热饮服务;提醒游客注意保暖;增加室内休息区,6646,09:00-18:00
2013-02-16,玉佛山风景区-二一九公园,阴,-7,提供热饮服务;提醒游客注意保暖;增加室内休息区,5207,09:00-18:00
2013-02-17,玉佛山风景区-二一九公园,多云,14,,7868,09:00-18:00
2013-02-18,玉佛山风景区-二一九公园,晴,8,,8564,09:00-18:00
2013-02-19,玉佛山风景区-二一九公园,雪,-5,提供热饮服务;提醒游客注意保暖;增加室内休息区,8210,09:00-18:00
2013-02-20,玉佛山风景区-二一九公园,中雨,-10,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,5308,09:00-18:00
2013-02-21,玉佛山风景区-二一九公园,多云,22,,4781,09:00-18:00
2013-02-22,玉佛山风景区-二一九公园,小雨,34,,6137,09:00-18:00
2013-02-23,玉佛山风景区-二一九公园,多云,31,,3773,09:00-18:00
2013-02-24,玉佛山风景区-二一九公园,中雨,3,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6880,09:00-18:00
2013-02-25,玉佛山风景区-二一九公园,雪,7,,5295,09:00-18:00
2013-02-26,玉佛山风景区-二一九公园,多云,-1,提供热饮服务;提醒游客注意保暖;增加室内休息区,5593,09:00-18:00
2013-02-27,玉佛山风景区-二一九公园,大雨,34,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9093,09:00-18:00
2013-02-28,玉佛山风景区-二一九公园,雪,10,,9486,09:00-18:00
2013-03-01,玉佛山风景区-二一九公园,阴,4,,9385,09:00-18:00
2013-03-02,玉佛山风景区-二一九公园,晴,-3,提供热饮服务;提醒游客注意保暖;增加室内休息区,3415,09:00-18:00
2013-03-03,玉佛山风景区-二一九公园,大雨,7,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,9597,09:00-18:00
2013-03-04,玉佛山风景区-二一九公园,中雨,19,准备雨具租赁服务;检查排水系统;安排室内活动作为备选,6964,09:00-18:00
