城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
丹东,丹东之眼中国边境摩天轮公园,风景名胜,全年,4.4,免费,2-3小时,国门湾公园内,,,
丹东,鸭绿江风景名胜区,风景名胜,全年,4.8,免费,2-3小时,滨江中路,,,
丹东,抗美援朝纪念馆,风景名胜,全年,4.5,免费,2-3小时,山上街7号,,,
丹东,望龙川栈桥,风景名胜,全年,4.2,免费,2-3小时,鸭绿江大道与文庆路交汇处,,,
丹东,国门湾公园,风景名胜,全年,4.3,免费,2-3小时,浪头镇鸭绿江大道,,,
丹东,锦江山公园,风景名胜,全年,4.7,免费,2-3小时,山上街93号,,,
丹东,望龙川号,风景名胜,全年,4.2,免费,2-3小时,文安路999号,,,
丹东,银杏黄金大道,风景名胜,全年,4.4,免费,2-3小时,九纬路,,,
丹东,帽盔山公园,风景名胜,全年,4.2,免费,2-3小时,桃源街与国桢路交汇处东行30米,,,
丹东,集酷国门湾亲子小镇,风景名胜,全年,4.2,免费,2-3小时,鸭绿江大街113号(中朝友谊大桥下鸭绿江上游50米),,,
丹东,英雄广场,风景名胜,全年,4.1,免费,2-3小时,文澜路与银河大街交叉口西360米,,,
丹东,东江寺,风景名胜,全年,4.1,免费,2-3小时,[],,,
丹东,虎山长城,风景名胜,全年,4.7,免费,2-3小时,319省道与滨海公路交汇处东南,,,
丹东,G331国道零公里处,风景名胜,全年,4.2,免费,2-3小时,十纬路34号,,,
丹东,月亮岛广场,风景名胜,全年,4.3,免费,2-3小时,滨江中路与春五路交叉口北80米,,,
丹东,门址,风景名胜,全年,2.8,免费,2-3小时,文安路31-11-2号,,,
丹东,玉带河公园,风景名胜,全年,3.8,免费,2-3小时,金河大街104号,,,
丹东,元宝山公园,风景名胜,全年,4.2,免费,2-3小时,八道街道宝山大街72-3号,,,
丹东,鸭绿江中朝界河游船(1号观光码头),风景名胜,全年,4.3,免费,2-3小时,浪头镇滨江中路与兴一路交叉口东220米,,,
丹东,丹东中朝边境,风景名胜,全年,4.2,免费,2-3小时,虎山镇虎山长城内(东侧),,,
丹东,青年湖公园,风景名胜,全年,4.1,免费,2-3小时,临江街道青年大街83号,,,
丹东,中朝边境一步跨,风景名胜,全年,4.4,免费,2-3小时,319省道与滨海公路交叉口东南虎山长城内(东侧),,,
丹东,宗裕金汤水世界,风景名胜,全年,4.2,免费,2-3小时,学院西街宗裕城北,,,
丹东,锦江亭,风景名胜,全年,4.1,免费,2-3小时,山上街93号锦江山公园,,,
丹东,太平湖公园,风景名胜,全年,4.2,免费,2-3小时,浪东线水利小区附近(翠园社区附近),,,
丹东,丹东市杜鹃广场,风景名胜,全年,4.1,免费,2-3小时,十纬路91号,,,
丹东,丹东市抗美援朝烈士陵园,生活服务,全年,0.0,免费,2-3小时,爱民街61号,,,
丹东,菊花山公园,风景名胜,全年,4.0,免费,2-3小时,福寿路23西南方向50米,,,
丹东,双灵寺,风景名胜,全年,4.2,免费,2-3小时,304国道,,,
丹东,鸭绿江风景名胜区-观潮亭,风景名胜,全年,4.1,免费,2-3小时,滨江中路与十纬路交汇处鸭绿江公园内,,,
丹东,清真寺,风景名胜,全年,4.1,免费,2-3小时,官电街126号,,,
丹东,大桥景区,风景名胜,全年,4.0,免费,2-3小时,浪头镇滨江中路鸭绿江风景名胜区(西南角),,,
丹东,锦江山珍稀动物园,风景名胜,全年,4.1,免费,2-3小时,山上街75-12号,,,
丹东,普济宫,风景名胜,全年,4.1,免费,2-3小时,青龙街附近,,,
丹东,青龙泉,风景名胜,全年,4.4,免费,2-3小时,新天地财富广场10号,,,
丹东,江海明珠,风景名胜,全年,4.1,免费,2-3小时,红旗土房北村一组,,,
