城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
大连,劳动公园,风景名胜,全年,4.7,免费,2-3小时,昆明街道解放路58号,,,
大连,中山广场,风景名胜,全年,4.8,免费,2-3小时,中山路552号(中山广场地铁站D口步行60米),,,
大连,人民广场,风景名胜,全年,4.7,免费,2-3小时,人民广场街道中山路(人民广场地铁站B口步行370米),,,
大连,大连森林动物园,风景名胜,全年,4.8,免费,2-3小时,南石道街迎春路60号,,,
大连,五一广场,风景名胜,全年,4.4,免费,2-3小时,泰山街6号4一4,,,
大连,中山公园,风景名胜,全年,4.6,免费,2-3小时,联合路62号(近广电中心),,,
大连,友好广场,风景名胜,全年,4.5,免费,2-3小时,友好路158号(近一德街)(友好广场地铁站C1口旁),,,
大连,白云山山体公园,风景名胜,全年,4.6,免费,2-3小时,白云街道长白街7-2号附近,,,
大连,民主广场,风景名胜,全年,4.5,免费,2-3小时,文林街15-1号,,,
大连,五四广场,风景名胜,全年,4.4,免费,2-3小时,西安路(兴工街地铁站A口步行290米),,,
大连,银沙滩公园,风景名胜,全年,4.8,免费,2-3小时,滨海西路76号,,,
大连,东港音乐喷泉广场,风景名胜,全年,4.8,免费,2-3小时,五五路9号(近大连国际会议中心),,,
大连,儿童公园,风景名胜,全年,4.7,免费,2-3小时,哈尔滨街1-88号(南山路129-225号),,,
大连,白云雁水健身公园,风景名胜,全年,4.6,免费,2-3小时,白云街道迎春路60号,,,
大连,大连东关街,风景名胜,全年,4.2,免费,2-3小时,东关街,,,
大连,星海公园,风景名胜,全年,4.8,免费,2-3小时,中山路634号,,,
大连,双拥文化广场,风景名胜,全年,4.1,免费,2-3小时,黄河街与九三街路口处,,,
大连,松山寺,风景名胜,全年,4.3,免费,2-3小时,唐山街,,,
大连,大连老虎滩海洋公园,风景名胜,全年,4.7,免费,2-3小时,滨海中路9号,,,
大连,大连植物园,风景名胜,全年,4.7,免费,2-3小时,望海街39号,,,
大连,大连圣亚海洋世界,风景名胜,全年,4.7,免费,2-3小时,中山路608-6-8号,,,
大连,基督教北京街教堂,风景名胜,全年,4.3,免费,2-3小时,北京街道长江路665号,,,
大连,大连老虎滩海洋公园极地馆,风景名胜,全年,4.5,免费,2-3小时,虎滩街3号,,,
大连,海昌·东方水城,风景名胜,全年,4.8,免费,2-3小时,港浦路56-1号,,,
大连,富国公园,风景名胜,全年,4.6,免费,2-3小时,星海湾街道星海街173号,,,
大连,渔人码头,商务住宅,全年,4.8,免费,2-3小时,滨海东路80-2号,,,
大连,金沙滩,风景名胜,全年,4.6,免费,2-3小时,八一路街道滨海路53号,,,
