城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
抚顺,抚顺战犯管理所,风景名胜,全年,4.7,免费,2-3小时,抚顺城街道宁远街43号,,,
抚顺,抚顺人民广场,风景名胜,全年,4.2,免费,2-3小时,临江路(东段)与长城街交叉口西南240米,,,
抚顺,新屯公园,风景名胜,全年,4.2,免费,2-3小时,莫地北路,,,
抚顺,萨尔浒风景名胜区,风景名胜,全年,4.6,免费,2-3小时,萨尔浒南路6号,,,
抚顺,抚顺平顶山惨案纪念馆,风景名胜,全年,4.7,免费,2-3小时,南昌路13号,,,
抚顺,健娱乐全民健身广场,风景名胜,全年,4.1,免费,2-3小时,榆林花鸟鱼市场东侧约140米,,,
抚顺,劳动公园动物园,风景名胜,全年,4.2,免费,2-3小时,东公园街道永宁街9号,,,
抚顺,月牙岛生态公园,风景名胜,全年,4.7,免费,2-3小时,沿滨路北100米,,,
抚顺,雷锋纪念馆,风景名胜,全年,4.4,免费,2-3小时,雷锋路东段61号,,,
抚顺,东林里,风景名胜,全年,4.2,免费,2-3小时,东林路劳动公园南门对面东林园,,,
抚顺,皇家海洋乐园,风景名胜,全年,4.7,免费,2-3小时,沈抚示范区高湾经济开发区高阳路3号,,,
抚顺,中华寺风景区,风景名胜,全年,4.4,免费,2-3小时,140省道附近,,,
抚顺,抚顺西露天参观台,风景名胜,全年,4.4,免费,2-3小时,古城子街1路1号,,,
抚顺,抚顺新抚清真寺,风景名胜,全年,4.3,免费,2-3小时,福民路,,,
抚顺,十里滨水公园,风景名胜,全年,4.1,免费,2-3小时,河畔嘉园附近十里,,,
抚顺,三慧寺,风景名胜,全年,4.3,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区(东北角),,,
抚顺,东北记忆工业主题公园,风景名胜,全年,4.1,免费,2-3小时,海新路,,,
抚顺,金风湾,风景名胜,全年,4.1,免费,2-3小时,沈抚大道旺力城对面,,,
抚顺,生命之环,风景名胜,全年,4.7,免费,2-3小时,中兴街77-46号,,,
抚顺,莫地广场,风景名胜,全年,4.1,免费,2-3小时,新屯街道莫地北路莫地社区内,,,
抚顺,抚顺红枫林景区,风景名胜,全年,4.1,免费,2-3小时,章党章汉村,,,
抚顺,善缘寺,风景名胜,全年,4.3,免费,2-3小时,宝上线,,,
抚顺,皇家极地海洋世界,风景名胜,全年,4.4,免费,2-3小时,李石街道高湾经济区高阳路3号皇家海洋乐园内(西侧),,,
抚顺,承光寺,风景名胜,全年,3.9,免费,2-3小时,寒江路3附近,,,
抚顺,儿童公园,风景名胜,全年,4.0,免费,2-3小时,东三路与自由路交叉口东100米,,,
抚顺,抚顺南站城市会客厅,风景名胜,全年,4.1,免费,2-3小时,西一路与中央大街交叉口西北60米,,,
抚顺,露天矿公园(不对外开放),风景名胜,全年,4.1,免费,2-3小时,兴平路附近,,,
抚顺,抚顺市高尔山观音阁,风景名胜,全年,4.0,免费,2-3小时,高山路72号,,,
抚顺,皇顶山森林公园,风景名胜,全年,4.1,免费,2-3小时,会元乡上砖台村东,,,
抚顺,关山湖风景区,风景名胜,全年,4.2,免费,2-3小时,救兵镇关山村,,,
抚顺,高尔山景区神树,风景名胜,全年,4.0,免费,2-3小时,G1212沈吉高速附近,,,
抚顺,青莲寺,风景名胜,全年,4.1,免费,2-3小时,虎东一街,,,
抚顺,抚顺市高山路天主教堂,风景名胜,全年,3.8,免费,2-3小时,施南路21号,,,
抚顺,秋水长天,风景名胜,全年,4.1,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区,,,
抚顺,河滩公园广场,风景名胜,全年,4.0,免费,2-3小时,华扬建设浑河逸境项目部,,,
抚顺,玉清宫讲经堂,风景名胜,全年,4.2,免费,2-3小时,西五路7-1号,,,
抚顺,高尔山辽塔,风景名胜,全年,3.8,免费,2-3小时,高山路高尔山公园内,,,
抚顺,基督教堂,政府机构及社会团体,全年,4.1,免费,2-3小时,中和路,,,
抚顺,海城小世界公园,风景名胜,全年,4.1,免费,2-3小时,[],,,
抚顺,抚顺市河东基督教堂,风景名胜,全年,3.8,免费,2-3小时,滴翠路11号,,,
抚顺,二道基督教活动点,风景名胜,全年,3.9,免费,2-3小时,裕城路27号,,,
抚顺,虎台基督教堂,风景名胜,全年,3.8,免费,2-3小时,虎西路13-3号楼,,,
抚顺,三元观,风景名胜,全年,4.3,免费,2-3小时,翔宇路与金凤街交叉口东100米,,,
抚顺,社河国家湿地公园,风景名胜,全年,4.2,免费,2-3小时,抚金线与台上线交叉口西北120米,,,
抚顺,新屯公园-福慧寺,风景名胜,全年,3.9,免费,2-3小时,煤都路西段28号楼,,,
抚顺,梨花谷,风景名胜,全年,4.1,免费,2-3小时,石文镇G91(辽中环线高速),,,
抚顺,高尔山·天边,风景名胜,全年,3.8,免费,2-3小时,将军北街23号,,,
抚顺,清太祖努尔哈赤,风景名胜,全年,4.1,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区,,,
抚顺,仙人洞,风景名胜,全年,4.0,免费,2-3小时,479乡道,,,
抚顺,上寺风景区,风景名胜,全年,3.9,免费,2-3小时,河北乡,,,
抚顺,刘山广场,风景名胜,全年,3.9,免费,2-3小时,刘山一街与刘山二街交叉口东南160米,,,
抚顺,抚顺市望花区朝阳基督教堂,风景名胜,全年,4.1,免费,2-3小时,朝阳路7号,,,
抚顺,北站基督教堂,风景名胜,全年,3.9,免费,2-3小时,抚顺城路15-4号,,,
抚顺,玉露潭公园,风景名胜,全年,4.1,免费,2-3小时,李石开发区,,,
抚顺,富平路天主教堂,风景名胜,全年,3.8,免费,2-3小时,西富平路5号,,,
抚顺,抚顺市滨水公园,风景名胜,全年,3.9,免费,2-3小时,浑河北路24号,,,
抚顺,西戈公园,风景名胜,全年,3.8,免费,2-3小时,西葛一路抚顺石化西葛小区,,,
抚顺,萨尔浒山之战书事碑亭,风景名胜,全年,4.0,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区,,,
抚顺,高尔山风景区将军峰,风景名胜,全年,3.7,免费,2-3小时,会元乡高山路97号高尔山风景区,,,
抚顺,虎台公园,风景名胜,全年,3.9,免费,2-3小时,老虎台街道虎东一街虎台山公园,,,
抚顺,月牙岛生态公园喷泉,风景名胜,全年,4.1,免费,2-3小时,沿滨路月牙岛生态公园内(东侧),,,
抚顺,千台山公园,风景名胜,全年,3.8,免费,2-3小时,千台山社区58号楼,,,
抚顺,李石河西公园,风景名胜,全年,4.1,免费,2-3小时,李石街与顺发路交叉口西北120米,,,
抚顺,元帅林,风景名胜,全年,4.1,免费,2-3小时,章党镇高丽村,,,
抚顺,抚顺市顺城区基督教将军聚会点,风景名胜,全年,3.8,免费,2-3小时,柳河街15号,,,
抚顺,邀月亭,风景名胜,全年,3.9,免费,2-3小时,萨尔浒风景名胜区,,,
抚顺,辽宁大伙房国家湿地公园(不对外开放),风景名胜,全年,4.0,免费,2-3小时,大伙房水库,,,
抚顺,抚顺石油一厂遗址,风景名胜,全年,3.9,免费,2-3小时,千金路与八道街交叉口南320米,,,
抚顺,抚顺市田屯莲花寺,风景名胜,全年,3.9,免费,2-3小时,李石街道沈东七路抚顺市田屯莲花寺,,,
抚顺,宝泉山,风景名胜,全年,3.9,免费,2-3小时,友爱村,,,
抚顺,高尔山山城,风景名胜,全年,3.8,免费,2-3小时,会元乡高山路97号高尔山风景区内(西侧),,,
抚顺,采沉记忆实景公园,风景名胜,全年,3.8,免费,2-3小时,青年路中公交站旁,,,
抚顺,基督教堂(福民路),风景名胜,全年,4.0,免费,2-3小时,福民路37号,,,
抚顺,观复六如,风景名胜,全年,4.4,免费,2-3小时,略阳街2号附近,,,
抚顺,好汉坡,风景名胜,全年,3.8,免费,2-3小时,皇顶山森林公园,,,
抚顺,东公园基督教堂,风景名胜,全年,3.7,免费,2-3小时,礼泉路10号,,,
抚顺,山水驿生态广场,风景名胜,全年,4.2,免费,2-3小时,抚金线,,,
抚顺,玫瑰广场,风景名胜,全年,3.9,免费,2-3小时,新民二路10号,,,
抚顺,抚顺市东洲区青年路花海景点,风景名胜,全年,3.8,免费,2-3小时,青年路(西段)与海新路交叉口西南400米,,,
抚顺,萨尔浒花海,风景名胜,全年,3.9,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区(东北角),,,
抚顺,复古列车博物馆,风景名胜,全年,4.1,免费,2-3小时,海洋路与扬帆街交叉口西北460米,,,
抚顺,长安广场,风景名胜,全年,3.7,免费,2-3小时,虎东路与虎万路交叉口西南80米,,,
抚顺,人民烈士纪念碑,风景名胜,全年,3.6,免费,2-3小时,北台一街与北台三路交叉口西120米,,,
抚顺,毛主席雕像,风景名胜,全年,3.8,免费,2-3小时,东七路与民主二街交叉口东40米,,,
抚顺,雁鸣湖,风景名胜,全年,4.0,免费,2-3小时,宝泉山附近,,,
抚顺,黄旗村明代土城子遗址,风景名胜,全年,3.8,免费,2-3小时,[],,,
抚顺,天瀑泉,风景名胜,全年,3.7,免费,2-3小时,逍遥城(煤都路北),,,
抚顺,腈纶公园,风景名胜,全年,3.8,免费,2-3小时,绥阳路(巴米罗发型设计附近),,,
抚顺,前甸新村基督教活动点,风景名胜,全年,3.4,免费,2-3小时,颐城街6-20号,,,
抚顺,基督教堂(南阳路),风景名胜,全年,3.7,免费,2-3小时,永宁街与南阳路交叉口东南40米,,,
抚顺,鱼市小广场,风景名胜,全年,3.9,免费,2-3小时,红光社区,,,
抚顺,杲城烟雨,风景名胜,全年,3.8,免费,2-3小时,萨尔浒南路6号萨尔浒风景名胜区,,,
抚顺,一竹牧场家畜动物园,风景名胜,全年,4.3,免费,2-3小时,安康街10委3组1号,,,
抚顺,抚顺市劳动公园,风景名胜,全年,4.6,免费,2-3小时,东公园街道凤翔路,,,
抚顺,高尔山风景区,风景名胜,全年,4.6,免费,2-3小时,会元乡高山路97号,,,
抚顺,东岗观景台,风景名胜,全年,4.6,免费,2-3小时,南阳路4-38号楼,,,
抚顺,东林公园,风景名胜,全年,4.1,免费,2-3小时,榆林街道东林一街3号,,,
抚顺,紫花岭风景区,风景名胜,全年,4.0,免费,2-3小时,兰山乡紫花村金洋线,,,
抚顺,青龙寺,风景名胜,全年,4.3,免费,2-3小时,后安镇郑家村,,,
抚顺,新时代广场(煤都路),风景名胜,全年,3.8,免费,2-3小时,搭连路2号,,,
抚顺,沈抚滨河公园,风景名胜,全年,4.0,免费,2-3小时,滨河路3号,,,
抚顺,三块石国家森林公园,风景名胜,全年,4.6,免费,2-3小时,后安镇佟庄子村,,,
抚顺,基督教李石河西堂,风景名胜,全年,3.9,免费,2-3小时,李石街与顺发路交叉口北40米,,,
抚顺,凌云寺,风景名胜,全年,3.9,免费,2-3小时,456乡道西50米,,,
抚顺,城隍庙,风景名胜,全年,3.9,免费,2-3小时,李石街道沈抚新城高湾经济开发区高望路1号热高乐园丛林欢乐世界内,,,
抚顺,杨靖宇烈士,风景名胜,全年,0.0,免费,2-3小时,浑河南路(中段)与宁远街交叉口东北80米,,,
抚顺,天女山森林公园,风景名胜,全年,4.4,免费,2-3小时,401县道东50米,,,
抚顺,霜叶园,风景名胜,全年,3.8,免费,2-3小时,七道街与浑河南路中段交叉口北480米,,,
抚顺,兴国寺,风景名胜,全年,3.9,免费,2-3小时,[],,,
抚顺,远洋城山顶公园,风景名胜,全年,3.7,免费,2-3小时,远洋城山顶公园(将军北街东),,,
抚顺,高尔山公园蝴蝶泉,风景名胜,全年,3.6,免费,2-3小时,会元乡高山路97号高尔山风景区,,,
