城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
朝阳,朝阳北塔,风景名胜,全年,4.7,免费,2-3小时,北塔街道慕容街2-1号朝阳市北塔博物馆,120.479,41.5732,
朝阳,朝阳凤凰山风景区,风景名胜,全年,4.7,免费,2-3小时,凌凤街道凤凰山,120.479,41.5732,
朝阳,龙腾温泉度假村,风景名胜,全年,4.7,免费,2-3小时,长宝营子乡海里村6组,120.479,41.5732,
朝阳,辽宁朝阳鸟化石国家地质公园,风景名胜,全年,4.7,免费,2-3小时,龙鸟大街100号,120.479,41.5732,
朝阳,佑顺寺,风景名胜,全年,4.4,免费,2-3小时,新华路二段15号,120.479,41.5732,
朝阳,朝阳人民公园,风景名胜,全年,4.3,免费,2-3小时,朝阳大街三段,120.479,41.5732,
朝阳,尚志公园,风景名胜,全年,4.3,免费,2-3小时,振兴路与中山大街交汇处,120.479,41.5732,
朝阳,大凌河风景区,风景名胜,全年,4.4,免费,2-3小时,左堤路万人广场附近,120.479,41.5732,
朝阳,红村天鹅湾,风景名胜,全年,4.3,免费,2-3小时,南八家乡红村大凌河北侧,120.479,41.5732,
朝阳,朝阳市体育公园,风景名胜,全年,4.3,免费,2-3小时,燕都大街149号,120.479,41.5732,
朝阳,关帝庙,风景名胜,全年,4.3,免费,2-3小时,营州路2段-15号,120.479,41.5732,
朝阳,什家河套湿地公园,风景名胜,全年,4.3,免费,2-3小时,北环路与友谊大街交叉口东北340米,120.479,41.5732,
朝阳,赵尚志纪念馆,风景名胜,全年,0.0,免费,2-3小时,前进街道前进街道中山大街二段10号,120.479,41.5732,
朝阳,万人广场,风景名胜,全年,4.3,免费,2-3小时,南大街8-1号,120.479,41.5732,
朝阳,人民公园,风景名胜,全年,4.1,免费,2-3小时,朝阳大街以西,120.479,41.5732,
朝阳,城隍庙,风景名胜,全年,4.1,免费,2-3小时,新华路二段73号,120.479,41.5732,
朝阳,玉龙湖,风景名胜,全年,4.1,免费,2-3小时,燕都大街303号,120.479,41.5732,
朝阳,人民广场,风景名胜,全年,3.9,免费,2-3小时,人民广场(朝阳大街)附近,120.479,41.5732,
朝阳,大凌河公园,风景名胜,全年,4.1,免费,2-3小时,凌河街四段36号,120.479,41.5732,
朝阳,天主教堂,风景名胜,全年,3.9,免费,2-3小时,朝阳大街一段278号(恒屹新村东)附近,120.479,41.5732,
朝阳,基督教堂,风景名胜,全年,3.9,免费,2-3小时,基督教堂(西南门)附近,120.479,41.5732,
朝阳,朝阳叠水桥,风景名胜,全年,4.1,免费,2-3小时,朝阳市金桥重型附近,120.479,41.5732,
朝阳,北塔广场,风景名胜,全年,4.0,免费,2-3小时,北市胡同2号,120.479,41.5732,
朝阳,劳动公园,风景名胜,全年,3.9,免费,2-3小时,黄河路与友谊大街交叉口,120.479,41.5732,
朝阳,玉皇庙,风景名胜,全年,4.2,免费,2-3小时,柳城街道腰叶线玉皇庙盘龙山风景区,120.479,41.5732,
朝阳,海里珊瑚,体育休闲服务,全年,4.1,免费,2-3小时,长宝乡海里营子村,120.479,41.5732,
朝阳,胡仙堂,风景名胜,全年,4.3,免费,2-3小时,大平房镇大板村世纪大街北侧,120.479,41.5732,
朝阳,朝阳老城区历史文化街区,风景名胜,全年,3.8,免费,2-3小时,慕容街与北市胡同交叉口南40米,120.479,41.5732,
朝阳,云接寺塔,风景名胜,全年,3.9,免费,2-3小时,朝阳凤凰山风景区内(南侧),120.479,41.5732,
朝阳,骆驼山子风景区,风景名胜,全年,4.1,免费,2-3小时,朝骆线与朝巴线交叉口西南40米,120.479,41.5732,
朝阳,凤凰山大宝塔,风景名胜,全年,4.0,免费,2-3小时,[],120.479,41.5732,
朝阳,柳城广场,风景名胜,全年,3.8,免费,2-3小时,龙山街四段826A号旁边,120.479,41.5732,
朝阳,牤牛营天鹅驿站,风景名胜,全年,4.1,免费,2-3小时,朝巴线,120.479,41.5732,
