城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
本溪,平顶山森林公园,风景名胜,全年,4.5,免费,2-3小时,天门路西50米,123.7761,41.3116,
本溪,市府广场,风景名胜,全年,4.2,免费,2-3小时,人民路31号人大综合楼,123.7761,41.3116,
本溪,本溪湖公园,风景名胜,全年,4.3,免费,2-3小时,溪湖西路212号,123.7761,41.3116,
本溪,本溪湖工业遗产群,风景名胜,全年,4.3,免费,2-3小时,溪湖东路与大明山街交叉口西360米,123.7761,41.3116,
本溪,小市一庄,风景名胜,全年,4.8,免费,2-3小时,小市镇本桓公路同江峪水洞旁(本桓线本溪远航加油站西南150米),123.7761,41.3116,
本溪,枫叶广场,风景名胜,全年,4.2,免费,2-3小时,翠溪路与华溪路交叉口西南140米,123.7761,41.3116,
本溪,本溪东风湖旅游度假村,风景名胜,全年,4.2,免费,2-3小时,东风街道新兴村,123.7761,41.3116,
本溪,平顶山索道,风景名胜,全年,4.2,免费,2-3小时,平顶山庄对面,123.7761,41.3116,
本溪,本溪水洞景区,风景名胜,全年,4.8,免费,2-3小时,谢家崴子村,123.7761,41.3116,
本溪,凤凰山公园,风景名胜,全年,4.2,免费,2-3小时,卧龙街道,123.7761,41.3116,
本溪,平顶山森林公园(西城口),风景名胜,全年,4.1,免费,2-3小时,环山路60-2号,123.7761,41.3116,
本溪,藏龙寺,风景名胜,全年,4.1,免费,2-3小时,居仁路,123.7761,41.3116,
本溪,华严寺,风景名胜,全年,4.0,免费,2-3小时,工人街道环山路125号,123.7761,41.3116,
本溪,大冰沟国家地质森林公园,风景名胜,全年,4.7,免费,2-3小时,思山岭街道办事处南沟村三组,123.7761,41.3116,
本溪,财神寺,风景名胜,全年,4.3,免费,2-3小时,财神庙村,123.7761,41.3116,
本溪,泉泊基督教堂,风景名胜,全年,4.0,免费,2-3小时,石子街4号,123.7761,41.3116,
本溪,清真寺,风景名胜,全年,3.9,免费,2-3小时,兴工街清真寺(和谐佳园南)附近,123.7761,41.3116,
本溪,卧龙岩溶小峡谷景区,风景名胜,全年,4.2,免费,2-3小时,544乡道,123.7761,41.3116,
本溪,本溪清真寺,风景名胜,全年,4.1,免费,2-3小时,明山路东北40米,123.7761,41.3116,
本溪,本钢一铁厂纪念,风景名胜,全年,4.1,免费,2-3小时,溪湖东路1151栋,123.7761,41.3116,
本溪,温泉寺,风景名胜,全年,4.4,免费,2-3小时,观音阁街道本同线,123.7761,41.3116,
本溪,天著大悦泉欢乐温泉,风景名胜,全年,4.3,免费,2-3小时,翠微路山麓组团36号楼,123.7761,41.3116,
本溪,本溪水塔,风景名胜,全年,3.8,免费,2-3小时,水塔路与矿院街交叉口西北120米,123.7761,41.3116,
