城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
沈阳,莫子山公园,风景名胜,全年,4.7,免费,2-3小时,环山路,,,
沈阳,中央公园音乐喷泉,风景名胜,全年,4.7,免费,2-3小时,智慧二街浑南新城中央公园(南侧),,,
沈阳,白塔公园,风景名胜,全年,4.5,免费,2-3小时,浑南新区白塔堡,,,
沈阳,沈阳故宫博物院,风景名胜,全年,4.9,免费,2-3小时,沈阳路171号,,,
沈阳,弥陀寺,风景名胜,全年,4.3,免费,2-3小时,浑南新区白塔堡白塔公园内(南侧),,,
沈阳,张学良旧居陈列馆,风景名胜,全年,4.9,免费,2-3小时,朝阳街少帅府巷46号,,,
沈阳,浑南市民公园,风景名胜,全年,4.4,免费,2-3小时,南堤西路2号,,,
沈阳,沈阳科学宫,风景名胜,全年,4.7,免费,2-3小时,青年大街201号,,,
沈阳,铁西广场,风景名胜,全年,4.7,免费,2-3小时,兴华南街与建设东路交汇处,,,
沈阳,南湖公园,风景名胜,全年,4.7,免费,2-3小时,文化路1号,,,
沈阳,沈水湾公园,风景名胜,全年,4.6,免费,2-3小时,沈水路589号,,,
沈阳,五里河公园,风景名胜,全年,4.7,免费,2-3小时,沈水路(近富民街),,,
沈阳,老北市,风景名胜,全年,4.7,免费,2-3小时,皇寺路99号,,,
沈阳,北陵公园,风景名胜,全年,4.8,免费,2-3小时,泰山路12号,,,
沈阳,太清宫,风景名胜,全年,4.7,免费,2-3小时,西顺城街16号,,,
沈阳,铁西1905文化创意园,风景名胜,全年,4.7,免费,2-3小时,兴华北街8号(重型文化广场南侧),,,
沈阳,慈恩寺,风景名胜,全年,4.6,免费,2-3小时,大南街慈恩寺巷12号,,,
沈阳,氏族聚落,风景名胜,全年,3.3,免费,2-3小时,智慧三街157号,,,
沈阳,桃仙网红墙,风景名胜,全年,4.3,免费,2-3小时,辽宁百汇租车(沈阳机场店)东侧100米,,,
沈阳,青年公园,风景名胜,全年,4.7,免费,2-3小时,风雨坛街道青年大街111号(近文艺路),,,
沈阳,怀远门,风景名胜,全年,4.6,免费,2-3小时,沈阳路2号(怀远门地铁站B口步行100米),,,
沈阳,中山公园(和平南大街),风景名胜,全年,4.7,免费,2-3小时,南京南街7号(太原街地铁站C口步行260米),,,
沈阳,老北市室内民国老街,风景名胜,全年,4.2,免费,2-3小时,北市场街道皇寺路99-1号,,,
沈阳,中山广场,风景名胜,全年,4.6,免费,2-3小时,中山广场与北四马路交叉口西50米,,,
沈阳,万泉公园,风景名胜,全年,4.7,免费,2-3小时,万泉街1号,,,
沈阳,劳动公园,风景名胜,全年,4.3,免费,2-3小时,雪柳街与青松路交叉口东北,,,
沈阳,皇姑北塔公园,风景名胜,全年,4.7,免费,2-3小时,崇山东路21-20,,,
沈阳,沈阳市人民广场,风景名胜,全年,4.5,免费,2-3小时,青年大街1号(人民广场地铁站D口步行80米),,,
沈阳,八一公园,风景名胜,全年,4.5,免费,2-3小时,三纬路18号,,,
沈阳,万柳塘公园,风景名胜,全年,4.5,免费,2-3小时,先农坛路17巷,,,
沈阳,沈阳市东陵公园,风景名胜,全年,4.7,免费,2-3小时,古井路与G1501沈阳绕城高速交叉口东陵路210号(东陵路),,,
沈阳,清昭陵,风景名胜,全年,4.4,免费,2-3小时,北塔街道泰山路12号北陵公园内,,,
沈阳,方型广场,风景名胜,全年,4.3,免费,2-3小时,南五马路,,,
沈阳,沈阳鸟岛,风景名胜,全年,4.7,免费,2-3小时,东陵路195号(近东陵公园),,,
沈阳,百鸟公园,风景名胜,全年,4.5,免费,2-3小时,崇山中路66号辽宁大学对面(近宁山路)百鸟园附近,,,
沈阳,碧霞宫,风景名胜,全年,4.2,免费,2-3小时,白塔街道沈营大街799号,,,
沈阳,护国法轮寺,风景名胜,全年,4.6,免费,2-3小时,北塔街27号,,,
沈阳,浑河西峡谷生态公园,风景名胜,全年,4.7,免费,2-3小时,[],,,
沈阳,荷花池,风景名胜,全年,4.3,免费,2-3小时,智慧二街276号附近,,,
沈阳,北塔,风景名胜,全年,4.5,免费,2-3小时,北塔街27号,,,
沈阳,和平广场,风景名胜,全年,4.4,免费,2-3小时,新兴街11号,,,
沈阳,新华广场,风景名胜,全年,4.3,免费,2-3小时,南京南街150号,,,
沈阳,瀋阳蓬瀛宫道院,风景名胜,全年,4.3,免费,2-3小时,南塔街97号蓬瀛宫,,,
沈阳,兴华公园,风景名胜,全年,4.3,免费,2-3小时,兴华南街(兴华公园地铁站D1口步行330米),,,
沈阳,浑南新城中央公园-水秀湖广场,风景名胜,全年,3.9,免费,2-3小时,白塔河二路,,,
沈阳,科普公园,风景名胜,全年,4.4,免费,2-3小时,五里河街道五爱街52号(近文体东路),,,
沈阳,黎明广场,风景名胜,全年,4.3,免费,2-3小时,和睦路53-1号(黎明广场地铁站B口旁),,,
沈阳,南塔公园,风景名胜,全年,4.4,免费,2-3小时,文萃路(近文萃苑),,,
沈阳,沈阳植物园(沈阳世博园),风景名胜,全年,4.7,免费,2-3小时,双园路301号,,,
沈阳,马耳山风景区,风景名胜,全年,4.5,免费,2-3小时,姚千街道马耳山生态旅游区,,,
沈阳,皇寺,风景名胜,全年,4.4,免费,2-3小时,皇寺路206号,,,
沈阳,塔北城市公园,风景名胜,全年,4.1,免费,2-3小时,沈营大街71-1号,,,
沈阳,浑河堡教堂,风景名胜,全年,4.3,免费,2-3小时,金帆西路8号,,,
沈阳,仙女湖公园,风景名胜,全年,4.4,免费,2-3小时,沈辽西路17号,,,
沈阳,水生岛,风景名胜,全年,4.1,免费,2-3小时,智慧二街与创新路交叉口东北240米,,,
沈阳,周恩来同志少年读书旧址,风景名胜,全年,3.7,免费,2-3小时,大东路育才巷10号,,,
沈阳,英国汇丰银行奉天支行旧址,风景名胜,全年,4.3,免费,2-3小时,十一纬路102号(南市场地铁站B口步行250米),,,
沈阳,浑河晚渡公园,风景名胜,全年,4.5,免费,2-3小时,城东湖街道阳光路20号,,,
沈阳,鲁迅公园,风景名胜,全年,4.3,免费,2-3小时,西滨河路6号,,,
沈阳,罗士圈生态公园,风景名胜,全年,4.3,免费,2-3小时,浑河湾街道沈水湾街道玉屏二路钓鱼台七号南门对面,,,
沈阳,喜园婚礼文化主题公园,风景名胜,全年,4.4,免费,2-3小时,观泉路112-1w号,,,
沈阳,奥林匹克生态公园,风景名胜,全年,4.4,免费,2-3小时,五三街道南堤中路与天赐街交叉口,,,
沈阳,克俭公园,风景名胜,全年,4.3,免费,2-3小时,阿里山路8号,,,
沈阳,富民园,风景名胜,全年,3.9,免费,2-3小时,富民街15号,,,
沈阳,时代公园,风景名胜,全年,4.3,免费,2-3小时,东贸路20号,,,
沈阳,白清寨滑雪场,体育休闲服务,全年,4.3,免费,2-3小时,白清寨广福路69-1号,,,
沈阳,张学良旧居陈列馆-张学良将军,风景名胜,全年,4.4,免费,2-3小时,朝阳街少帅府东巷与朝阳街少帅府巷交叉口西80米,,,
沈阳,北大营营房旧址,科教文化服务,全年,4.5,免费,2-3小时,柳林街2号,,,
沈阳,大法寺,风景名胜,全年,4.3,免费,2-3小时,八王寺街120号(近沈阳大学南门),,,
沈阳,铁西森林公园,风景名胜,全年,4.5,免费,2-3小时,建设西路附近,,,
沈阳,泉园广场,风景名胜,全年,4.2,免费,2-3小时,富民街15号富民园内(西侧),,,
沈阳,沈阳南塔,风景名胜,全年,4.2,免费,2-3小时,南塔街71号,,,
沈阳,清真南寺,风景名胜,全年,4.4,免费,2-3小时,南清真路23号,,,
沈阳,护国延寿寺,风景名胜,全年,4.3,免费,2-3小时,北市场街道敦化一路55-2号西南80米,,,
沈阳,海蓝星梦幻城,风景名胜,全年,4.7,免费,2-3小时,七星大街96号,,,
沈阳,中共满洲省委旧址纪念馆,风景名胜,全年,0.0,免费,2-3小时,北市场街道皇寺路福安巷3号,,,
沈阳,马耳山,风景名胜,全年,4.2,免费,2-3小时,马耳山风景区(东北角),,,
沈阳,华润置地创新公园,风景名胜,全年,4.1,免费,2-3小时,创新路与沈本二街交叉口东南80米,,,
沈阳,沈阳郎朗钢琴广场,风景名胜,全年,4.2,免费,2-3小时,南堤西路,,,
沈阳,重型文化广场,风景名胜,全年,4.2,免费,2-3小时,兴华北街8号(重型文化广场地铁站B口步行180米),,,
沈阳,圣火广场,风景名胜,全年,4.2,免费,2-3小时,五三街道五三街道朗云街,,,
沈阳,沈阳方城文化旅游区,风景名胜,全年,4.5,免费,2-3小时,皇城街道中街路钟楼南巷与钟楼南巷交叉口西南220米,,,
沈阳,浑南新城中央公园,风景名胜,全年,4.6,免费,2-3小时,全运四路附近,,,
沈阳,西塔,风景名胜,全年,4.8,免费,2-3小时,北市场街道市府大路25号,,,
沈阳,小南教堂广场(暂停开放),风景名胜,全年,4.8,免费,2-3小时,小南街59号,,,
沈阳,长白岛森林公园,风景名胜,全年,4.7,免费,2-3小时,南堤西路附近,,,
沈阳,沈阳市铁西区劳动公园,风景名胜,全年,4.7,免费,2-3小时,肇工街南12号,,,
沈阳,天主教辽宁总教区沈阳南关主教座堂天主堂(暂停开放),风景名胜,全年,4.6,免费,2-3小时,小南街南乐郊路40号,,,
沈阳,东塔园-护国永光寺,风景名胜,全年,4.7,免费,2-3小时,东塔街2号,,,
沈阳,丁香湖公园,风景名胜,全年,4.7,免费,2-3小时,造化街道白山路,,,
沈阳,惠工广场,风景名胜,全年,4.4,免费,2-3小时,惠工街167号甲4(金融中心地铁站B口步行110米),,,
沈阳,东三省总督府(暂停开放),风景名胜,全年,4.6,免费,2-3小时,皇城街道皇城街道盛京路28号,,,
沈阳,碧塘公园,风景名胜,全年,4.5,免费,2-3小时,长江街15号,,,
沈阳,长安寺,风景名胜,全年,4.4,免费,2-3小时,皇城街道中街路268号益田假日世界,,,
沈阳,舍利塔滩地公园,风景名胜,全年,4.3,免费,2-3小时,塔湾街,,,
沈阳,龙潭荷花湖度假公园-天柱排青公园,风景名胜,全年,4.3,免费,2-3小时,东陵路天柱排青公园(东陵公园对面),,,
沈阳,沈阳市园林植物标本公园,风景名胜,全年,4.3,免费,2-3小时,南塔街道南塔西街与科普路交叉口西北150米,,,
沈阳,和平体育公园,风景名胜,全年,4.2,免费,2-3小时,南堤西路501号,,,
沈阳,朝阳山生态文化景区,风景名胜,全年,3.9,免费,2-3小时,沙河子村,,,
沈阳,天后宫,风景名胜,全年,4.2,免费,2-3小时,取意街4号,,,
沈阳,万科·浑南新都心公园,风景名胜,全年,4.2,免费,2-3小时,桑林街与明德路交叉口西160米,,,
沈阳,盛京堂子巷,风景名胜,全年,4.2,免费,2-3小时,堂子街堂子庙巷14-3号,,,
沈阳,抚近门,风景名胜,全年,4.2,免费,2-3小时,东顺城街82号,,,
沈阳,辽宁省博物馆旧址,风景名胜,全年,4.2,免费,2-3小时,十纬路与北五经街交叉口东北100米,,,
沈阳,老龙口旅游景区,风景名胜,全年,4.1,免费,2-3小时,珠林路,,,
沈阳,丁香东湖公园,风景名胜,全年,4.3,免费,2-3小时,造化街道白山路丁香湖公园,,,
沈阳,中国沈阳审判日本战犯法庭旧址陈列馆,风景名胜,全年,4.8,免费,2-3小时,黑龙江街77号原北陵电影院,,,
沈阳,沈阳体育公园,风景名胜,全年,4.2,免费,2-3小时,南三马路61号(南五马路地铁站D1口步行300米),,,
沈阳,东塔园,风景名胜,全年,4.2,免费,2-3小时,东塔街道东塔街2号,,,
沈阳,沈阳抗美援朝烈士陵园烈士纪念馆,风景名胜,全年,0.0,免费,2-3小时,金山路50号抗美援朝烈士陵园内,,,
沈阳,沈阳龙之梦动物科普乐园,风景名胜,全年,4.3,免费,2-3小时,京东Mall北门7层,,,
沈阳,望鸢台,风景名胜,全年,4.1,免费,2-3小时,苏赵线南侧,,,
沈阳,浑河滨水慢道,风景名胜,全年,4.2,免费,2-3小时,五里河街道五爱立交与九龙街交叉口东80米,,,
沈阳,建设公园,风景名胜,全年,4.2,免费,2-3小时,建设西路,,,
沈阳,长白岛森林公园-长白岛动物园,风景名胜,全年,4.3,免费,2-3小时,南堤西路,,,
沈阳,九岛湖,风景名胜,全年,4.0,免费,2-3小时,创新路与智慧二街交叉口东北160米,,,
沈阳,花间道运动公园,风景名胜,全年,4.3,免费,2-3小时,东陵路,,,
沈阳,中心庙,风景名胜,全年,4.3,免费,2-3小时,中街地铁站B2口步行460米,,,
沈阳,沈河体育公园,风景名胜,全年,4.2,免费,2-3小时,沈水东路99号,,,
沈阳,地藏寺,风景名胜,全年,4.3,免费,2-3小时,大沟乡(三块石),,,
沈阳,长青公园,风景名胜,全年,4.2,免费,2-3小时,泉园二路85号,,,
沈阳,沈阳棋盘山国际风景旅游开发区,风景名胜,全年,4.7,免费,2-3小时,满堂街道,,,
沈阳,砂山基督教,风景名胜,全年,4.2,免费,2-3小时,砂山街69号,,,
沈阳,回龙寺,风景名胜,全年,4.3,免费,2-3小时,舍利塔滩地公园内(西北角),,,
沈阳,莫子山公园游乐场,风景名胜,全年,4.0,免费,2-3小时,全运五路91号莫子山公园西门云中食街1号,,,
沈阳,细河U谷,风景名胜,全年,4.4,免费,2-3小时,细河悠谷与四环路辅路交叉口东140米,,,
沈阳,山门寺,风景名胜,全年,4.2,免费,2-3小时,和平南大街130号(沈水湾公园内),,,
沈阳,和谐广场,风景名胜,全年,4.2,免费,2-3小时,黄海路60号,,,
沈阳,万泉公园-赵尔巽公馆旧址,风景名胜,全年,4.3,免费,2-3小时,万莲街道万泉街1号万泉公园内(西侧),,,
沈阳,汗王宫遗址,风景名胜,全年,4.2,免费,2-3小时,北中街路116号中街·盛京龙城西区,,,
沈阳,王滨红枫林,风景名胜,全年,4.3,免费,2-3小时,红枫里西侧110米,,,
沈阳,报恩寺,风景名胜,全年,4.2,免费,2-3小时,古井路与G1501沈阳绕城高速交叉口东陵路210号沈阳市东陵公园,,,
沈阳,清福陵,风景名胜,全年,4.2,免费,2-3小时,东陵路210号沈阳东陵公园,,,
沈阳,基督教堂,风景名胜,全年,4.2,免费,2-3小时,学城路11号,,,
沈阳,沈阳国际泵道公园,风景名胜,全年,4.3,免费,2-3小时,中德(沈阳)高端装备制造产业园细河悠谷公园内,,,
沈阳,于济川公馆,风景名胜,全年,4.2,免费,2-3小时,中山路(欧风街店),,,
沈阳,沈阳天主教堂爱国会,风景名胜,全年,4.2,免费,2-3小时,小南街南乐郊路40号,,,
沈阳,虎石台公园,风景名胜,全年,4.4,免费,2-3小时,建设路与兴明街交叉口西南240米,,,
沈阳,陨石山森林公园,风景名胜,全年,4.1,免费,2-3小时,李相街道滑石台村,,,
沈阳,水秀湖广场,风景名胜,全年,3.9,免费,2-3小时,智慧二街莫子山路中央公园,,,
沈阳,大佛寺,风景名胜,全年,4.2,免费,2-3小时,大南街三段慈恩寺巷14号,,,
沈阳,鲁迅儿童公园,风景名胜,全年,4.2,免费,2-3小时,文艺路2号方形广场(近东北设计院),,,
沈阳,大东广场,风景名胜,全年,4.2,免费,2-3小时,大北关街36-1号,,,
沈阳,辽宁雪豹军事主题乐园(暂停开放),风景名胜,全年,4.3,免费,2-3小时,鲍佟线,,,
沈阳,大羊安基督教堂,风景名胜,全年,3.9,免费,2-3小时,白塔镇大羊安村,,,
沈阳,辽宁总站(不对外开放),风景名胜,全年,4.3,免费,2-3小时,总站路100号,,,
沈阳,东陵-郊野公园,风景名胜,全年,4.2,免费,2-3小时,东陵路沈阳东陵公园(东陵公园地铁站A口步行220米),,,
沈阳,皇姑屯事件发生地,风景名胜,全年,4.2,免费,2-3小时,东西快速干道辅路,,,
沈阳,沈阳森林动物园,风景名胜,全年,4.7,免费,2-3小时,棋盘山国际风景旅游区内,,,
沈阳,沈阳故宫广场,风景名胜,全年,4.2,免费,2-3小时,沈阳路171号,,,
沈阳,海洋之约,风景名胜,全年,4.2,免费,2-3小时,长青街77号,,,
沈阳,中山广场-毛泽东雕像,风景名胜,全年,4.2,免费,2-3小时,太原街街道太原街街道开封街3号巷中山广场,,,
沈阳,领事馆绿地,风景名胜,全年,4.2,免费,2-3小时,十三纬路与荣生街交叉口东南80米,,,
沈阳,砂山公园,风景名胜,全年,4.1,免费,2-3小时,南京南街182号(隆轩御宫),,,
沈阳,于洪怒江公园,风景名胜,全年,4.2,免费,2-3小时,陵西街近河巷9-1号(怒江公园地铁站D口步行220米),,,
沈阳,怡静园,风景名胜,全年,4.0,免费,2-3小时,文艺路97号,,,
沈阳,沈阳故宫-武功坊,风景名胜,全年,4.2,免费,2-3小时,皇城街道沈阳路171号沈阳故宫内(西南角),,,
沈阳,沈阳劳动模范纪念馆,风景名胜,全年,0.0,免费,2-3小时,市府大路沈阳职工之家大楼内,,,
沈阳,护国广慈寺,风景名胜,全年,4.2,免费,2-3小时,南塔街71号,,,
沈阳,五里河公园-秦开广场,风景名胜,全年,4.2,免费,2-3小时,沈水路,,,
沈阳,红枫岛,风景名胜,全年,3.9,免费,2-3小时,智慧三街与创新路交叉口北380米,,,
沈阳,胡古泉,风景名胜,全年,4.0,免费,2-3小时,绿柏街,,,
沈阳,大东公园,风景名胜,全年,4.1,免费,2-3小时,长安路85号,,,
沈阳,水秀湖广场-中央公园,风景名胜,全年,4.0,免费,2-3小时,水秀湖广场内(北侧),,,
沈阳,沈阳故宫观景台(暂停开放),风景名胜,全年,4.2,免费,2-3小时,盛京大家庭4层,,,
沈阳,中兴文化广场,风景名胜,全年,4.2,免费,2-3小时,蕙兰五街,,,
沈阳,碧岚公园,风景名胜,全年,4.1,免费,2-3小时,高官台路与高官台街辅路交叉口北300米,,,
沈阳,莫子山碉堡,风景名胜,全年,3.9,免费,2-3小时,桃仙镇创新路莫子山公园(东侧),,,
沈阳,东塔文化广场,风景名胜,全年,4.1,免费,2-3小时,东陵街道凌云街41号,,,
沈阳,国家地理亲子主题乐园,风景名胜,全年,4.1,免费,2-3小时,博览路2甲1号沈阳K11Selec购物艺术中心L2层,,,
沈阳,黄海公园,风景名胜,全年,4.1,免费,2-3小时,"洪湖南街(渤海路与洪湖南街交汇处,世代龙泽湾附近)",,,
沈阳,长白岛森林公园-小动物园,风景名胜,全年,4.2,免费,2-3小时,滨堤路附近长白岛森林公园(西南角),,,
沈阳,蒲河生态文化走廊(沈北新区),风景名胜,全年,4.5,免费,2-3小时,蒲河景观路,,,
沈阳,金山公园,风景名胜,全年,4.1,免费,2-3小时,桂花街29-57号,,,
沈阳,沈水幸福公园,风景名胜,全年,4.1,免费,2-3小时,沈水街道香堇街与香梨路交叉路口往南约150米,,,
沈阳,沈阳市红船主题公园,风景名胜,全年,4.2,免费,2-3小时,仙岛北路与和安街交叉口东500米,,,
沈阳,向阳古刹,风景名胜,全年,4.6,免费,2-3小时,沈阳棋盘山国际风景旅游开发区向阳寺路,,,
沈阳,永安桥,风景名胜,全年,4.2,免费,2-3小时,马三家子乡永安村,,,
沈阳,沈阳市铁西区劳动公园-南园,风景名胜,全年,4.0,免费,2-3小时,肇工街南12号沈阳市铁西区劳动公园内(南侧),,,
沈阳,民主广场,风景名胜,全年,4.2,免费,2-3小时,南二马路与兰州南街交叉口东南100米,,,
沈阳,赵一荻故居,风景名胜,全年,4.2,免费,2-3小时,皇城街道朝阳街少帅府北巷内,,,
沈阳,中德公园,风景名胜,全年,4.2,免费,2-3小时,[],,,
沈阳,浑河观光游船,风景名胜,全年,4.2,免费,2-3小时,浑河北岸富民桥码头,,,
沈阳,浑河沙滩,风景名胜,全年,4.2,免费,2-3小时,沈水路(近富民街)五里河公园(东南角),,,
沈阳,麦芽岛喝酒公园,风景名胜,全年,4.3,免费,2-3小时,智慧四街龙湖云里C1栋C112,,,
沈阳,上园,风景名胜,全年,3.9,免费,2-3小时,合作街91-1号,,,
沈阳,森林湖,风景名胜,全年,3.9,免费,2-3小时,驼峰街,,,
沈阳,皇姑英雄公园,风景名胜,全年,4.1,免费,2-3小时,金山路,,,
沈阳,沈阳水洞(暂停开放),风景名胜,全年,4.1,免费,2-3小时,白清寨乡,,,
沈阳,中山公园游乐场(动物园),风景名胜,全年,4.2,免费,2-3小时,南京南街7号中山公园内(太原街地铁站G口步行410米),,,
沈阳,日俄会战碑日本碑,风景名胜,全年,4.1,免费,2-3小时,沙河街道,,,
沈阳,杨宇霆公馆旧址,风景名胜,全年,4.0,免费,2-3小时,魁星楼路6-1w号附近,,,
沈阳,龙王庙公园,风景名胜,全年,4.1,免费,2-3小时,文体西路107号,,,
沈阳,南运河带状公园,风景名胜,全年,3.9,免费,2-3小时,风雨坛街道西滨河路28号,,,
沈阳,东陵荷花湖冰雪大世界(暂停开放),风景名胜,全年,3.9,免费,2-3小时,满堂街道双园路东陵公园荷花湖,,,
沈阳,沈阳基督教西塔教堂,政府机构及社会团体,全年,4.1,免费,2-3小时,市府大路37号(市府大路地铁站B口步行330米),,,
沈阳,台地广场,风景名胜,全年,3.9,免费,2-3小时,龙潭荷花湖度假公园-天柱排青公园内(东侧),,,
沈阳,莫子山公园-南山,风景名胜,全年,3.8,免费,2-3小时,莫子山公园(西南角),,,
沈阳,法雨寺,风景名胜,全年,4.2,免费,2-3小时,胡扬线附近,,,
沈阳,首创滨河公园,风景名胜,全年,3.9,免费,2-3小时,沈中大街首创光和城,,,
沈阳,沈阳基督教东关教堂,风景名胜,全年,4.0,免费,2-3小时,小东街道东顺城街三自巷8号,,,
沈阳,苏家屯区人民广场,风景名胜,全年,4.0,免费,2-3小时,翠柏路14号,,,
沈阳,长青湾公园,风景名胜,全年,4.1,免费,2-3小时,金地棕榈岛西北,,,
沈阳,天主教辽宁(沈阳)总教区主教府公署(暂停开放),风景名胜,全年,4.3,免费,2-3小时,乐郊路19号-2甲沈阳小南主教座堂院内,,,
沈阳,浑河西峡谷生态公园-橡胶坝广场,风景名胜,全年,4.3,免费,2-3小时,西苏堡浑河特大桥浑河西峡谷生态公园(西南角),,,
沈阳,周恩来少年读书旧址-纪念馆,风景名胜,全年,4.2,免费,2-3小时,大东路育才巷10号周恩来同志少年读书旧址内(南侧),,,
沈阳,常荫槐公馆旧址,风景名胜,全年,4.2,免费,2-3小时,天后宫路万寿巷5号,,,
沈阳,青铜文化园,风景名胜,全年,3.9,免费,2-3小时,仙女河北路与大通湖街交叉口北100米,,,
沈阳,三洞桥,风景名胜,全年,4.1,免费,2-3小时,胜利北街与沈大线交叉口东北20米,,,
沈阳,恩霖堂,风景名胜,全年,4.0,免费,2-3小时,沈营路31号,,,
沈阳,白卿宫,风景名胜,全年,4.1,免费,2-3小时,梧桐大街沈阳城市学院,,,
沈阳,皇寺广场演艺区,风景名胜,全年,4.2,免费,2-3小时,营口东路与皇寺路交叉口西100米,,,
沈阳,云宿亲子牧场,风景名胜,全年,4.1,免费,2-3小时,李相街道营城子大街53-1号,,,
沈阳,铁西清真寺,风景名胜,全年,4.1,免费,2-3小时,重工北街63号,,,
沈阳,扎基拉姆护法殿,风景名胜,全年,4.1,免费,2-3小时,北塔街27号护国法轮寺内(南侧),,,
沈阳,金地艺境河派公园,风景名胜,全年,4.2,免费,2-3小时,南堤东路金地艺境,,,
沈阳,营盘地遗址,风景名胜,全年,4.1,免费,2-3小时,营盘地遗址(沈本产业大道南),,,
沈阳,观音寺,风景名胜,全年,4.2,免费,2-3小时,白山路98号,,,
沈阳,觉光寺,风景名胜,全年,3.9,免费,2-3小时,[],,,
