城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
盘锦,盘锦江南风情园,风景名胜,全年,4.4,免费,2-3小时,黄河街,,,
盘锦,荣兴民俗街,风景名胜,全年,4.3,免费,2-3小时,长白街与向海大道交叉口西140米,,,
盘锦,1955国营农场,风景名胜,全年,4.3,免费,2-3小时,王家街道向海大道王家路口西行50米,,,
盘锦,中国·二界沟旅游景区,风景名胜,全年,4.4,免费,2-3小时,二界沟街道,,,
盘锦,辽东湾金帛滩旅游区,风景名胜,全年,4.3,免费,2-3小时,内任意点南侧90米,,,
盘锦,荣兴湖公园,风景名胜,全年,4.0,免费,2-3小时,辽东湾新区二界沟街道向海大道与修业路交叉口北80米,,,
盘锦,玉露花语,风景名胜,全年,4.1,免费,2-3小时,衍中街与湘江街交叉口南500米,,,
盘锦,关帝庙,风景名胜,全年,4.2,免费,2-3小时,风韵路东50米,,,
盘锦,崇兴寺,风景名胜,全年,4.2,免费,2-3小时,崇兴街与西高线交叉口北80米,,,
盘锦,盘锦海滩,风景名胜,全年,4.2,免费,2-3小时,金帛滩海洋乐园内(西侧),,,
盘锦,甲午战争田庄台遗址,风景名胜,全年,4.2,免费,2-3小时,305国道,,,
盘锦,荷花池,风景名胜,全年,4.3,免费,2-3小时,大工路与新荣线交叉口东北360米,,,
盘锦,大辽河入海口(浑河太子河水系),风景名胜,全年,4.1,免费,2-3小时,[],,,
盘锦,东湖公园,风景名胜,全年,4.3,免费,2-3小时,大洼街道湖滨路227号,,,
盘锦,金帛滩海滨浴场,风景名胜,全年,4.0,免费,2-3小时,金帛滩海洋乐园B区游客中心东南侧,,,
盘锦,中央堡田园文化旅游综合体,风景名胜,全年,4.0,免费,2-3小时,营盘线附近,,,
盘锦,盘锦红海滩马拉松广场,风景名胜,全年,4.1,免费,2-3小时,滨海大道与渔锦路交叉口西南500米,,,
盘锦,望海观,风景名胜,全年,4.0,免费,2-3小时,田庄台镇北大社区,,,
盘锦,盘锦知青总部,风景名胜,全年,4.3,免费,2-3小时,苇海路与兴大线交叉口西400米,,,
盘锦,辽河广场,风景名胜,全年,3.9,免费,2-3小时,211省道(田庄台医院东),,,
盘锦,西湖公园,风景名胜,全年,4.2,免费,2-3小时,红海滩大街117号,,,
盘锦,法明寺,风景名胜,全年,3.8,免费,2-3小时,[],,,
盘锦,文昌宫,风景名胜,全年,3.9,免费,2-3小时,雨润路附近,,,
盘锦,大洼西安生态旅游区,风景名胜,全年,3.8,免费,2-3小时,西安镇振兴街1号,,,
盘锦,启航广场,风景名胜,全年,3.8,免费,2-3小时,二界沟街道衍中街与曲江路交叉口西320米,,,
盘锦,爱情宣言廊,风景名胜,全年,3.9,免费,2-3小时,赵圈河镇红海滩国家风景廊道内(东侧),,,
盘锦,红海滩湿地文化公园,风景名胜,全年,4.1,免费,2-3小时,[],,,
盘锦,辽河入海口,风景名胜,全年,4.0,免费,2-3小时,红海滩国家风景廊道(西南角),,,
盘锦,情人岛,风景名胜,全年,3.9,免费,2-3小时,赵圈河镇红海滩国家风景廊道内(东侧),,,
盘锦,大洼清真寺,风景名胜,全年,3.8,免费,2-3小时,305国道(大洼区运输管理所田庄台站东南),,,
盘锦,盘锦康桥公园,风景名胜,全年,4.3,免费,2-3小时,惠宾街道青年路与友谊街交叉路口北50米,,,
盘锦,绿风湖公园,风景名胜,全年,3.8,免费,2-3小时,泰山中路,,,
盘锦,大辽河绿水湾,风景名胜,全年,3.9,免费,2-3小时,西安镇上口子村,,,
盘锦,红海滩国家风景廊道稻梦湾,风景名胜,全年,3.9,免费,2-3小时,红海滩国家风景廊道(东南角),,,
盘锦,甲午末战遗址,风景名胜,全年,3.7,免费,2-3小时,211省道与乐园街交叉口南100米,,,
盘锦,甲午末战殉国将士墓,风景名胜,全年,3.8,免费,2-3小时,盘锦市大洼区甲午战争田庄台遗址,,,
盘锦,情人岛服务区,风景名胜,全年,3.8,免费,2-3小时,赵圈河镇红海滩国家风景廊道内附近,,,
盘锦,圣清宫,风景名胜,全年,4.2,免费,2-3小时,[],,,
盘锦,大唐骊珠,风景名胜,全年,4.1,免费,2-3小时,北窑村附近,,,
盘锦,石庙子村文化广场,风景名胜,全年,3.9,免费,2-3小时,王家街道唐海线北50米,,,
盘锦,锦江公园,风景名胜,全年,4.1,免费,2-3小时,学府南街与锦江路交叉口西100米,,,
盘锦,天圣宫,风景名胜,全年,3.8,免费,2-3小时,新民街1号,,,
盘锦,踏霞漫步,风景名胜,全年,3.9,免费,2-3小时,赵圈河镇红海滩国家风景廊道内(北侧),,,
盘锦,盘锦观音寺,风景名胜,全年,4.0,免费,2-3小时,[],,,
盘锦,辽一井旧址,风景名胜,全年,4.0,免费,2-3小时,黄金带村,,,
