城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
营口,营口鸟浪广场,风景名胜,全年,4.6,免费,2-3小时,新海大街与观海路交叉口东南20米,,,
营口,西炮台公园,风景名胜,全年,4.6,免费,2-3小时,渔市街道渤海大街西段116号,,,
营口,辽河老街,风景名胜,全年,4.6,免费,2-3小时,"渔市街道繁荣里,辽河大街西段",,,
营口,楞严寺公园,风景名胜,全年,4.4,免费,2-3小时,惠宾路附近,,,
营口,镜湖公园,风景名胜,全年,4.2,免费,2-3小时,金牛山大街(近万都酒店),,,
营口,南湖公园,风景名胜,全年,4.2,免费,2-3小时,建丰街道市府路,,,
营口,营口西炮台遗址陈列馆,风景名胜,全年,4.3,免费,2-3小时,渔市街道渤海大街西段116号西炮台公园(西南角),,,
营口,楞严禅寺,风景名胜,全年,4.3,免费,2-3小时,新兴大街西16号,,,
营口,大辽河入海口,风景名胜,全年,4.4,免费,2-3小时,西炮台公园北侧正西方向50米,,,
营口,森林公园,风景名胜,全年,4.2,免费,2-3小时,平安路与青花大街交汇处,,,
营口,人民公园,风景名胜,全年,4.3,免费,2-3小时,公园路,,,
营口,海螺广场,风景名胜,全年,4.3,免费,2-3小时,渤海大街西头南行,,,
营口,泰和园,风景名胜,全年,4.2,免费,2-3小时,东新路与太和北街交叉口南150米,,,
营口,辽河公园,风景名胜,全年,4.3,免费,2-3小时,辽河大街东14-5号,,,
营口,澄湖公园,风景名胜,全年,4.1,免费,2-3小时,澄湖东路与新联南大街东段交叉口西北140米,,,
营口,北海禅寺,风景名胜,全年,4.4,免费,2-3小时,团山国家级海洋公园景区内,,,
营口,民兴河广场,风景名胜,全年,4.1,免费,2-3小时,海澜街与市府路交叉口东南160米,,,
营口,蟠龙山公园,风景名胜,全年,4.2,免费,2-3小时,哈大中路2号,,,
营口,树人公园,风景名胜,全年,4.0,免费,2-3小时,聪慧路与青花大街交叉口,,,
营口,红旗广场,风景名胜,全年,4.2,免费,2-3小时,清华路与辽河大街交汇处北100米路东,,,
营口,明湖广场智慧化体育公园,风景名胜,全年,1.7,免费,2-3小时,新联大街151号,,,
营口,平安广场,风景名胜,全年,4.1,免费,2-3小时,滨河大街与平安路交叉口东北40米,,,
营口,迷镇山娘娘庙,风景名胜,全年,4.2,免费,2-3小时,金桥街道金龙路,,,
营口,步云桥,风景名胜,全年,3.8,免费,2-3小时,新建大街东段1号,,,
营口,营口市雷锋纪念馆,风景名胜,全年,0.0,免费,2-3小时,营口图书大厦2层,,,
营口,永远角湿地,风景名胜,全年,4.1,免费,2-3小时,滨河大街西123号,,,
营口,北海红海滩,风景名胜,全年,4.2,免费,2-3小时,团山街道滨海公路,,,
营口,熙湖公园,风景名胜,全年,4.2,免费,2-3小时,花园路,,,
营口,营口俄国领事馆旧址,风景名胜,全年,4.1,免费,2-3小时,建设街6-4号楼,,,
营口,营口基督教堂,风景名胜,全年,4.1,免费,2-3小时,延寿里1号,,,
营口,樱溪公园,风景名胜,全年,3.9,免费,2-3小时,营口职业技术学院西100米路北侧,,,
营口,金牛山遗址,风景名胜,全年,4.1,免费,2-3小时,上白线,,,
营口,广心寺,风景名胜,全年,4.1,免费,2-3小时,胜利路6-甲5号,,,
营口,辽河广场,风景名胜,全年,4.1,免费,2-3小时,建设街与市府路交汇处,,,
营口,大辽河玻璃栈道,风景名胜,全年,4.1,免费,2-3小时,辽河大街与得胜路交叉口西北380米,,,
营口,海潮寺,风景名胜,全年,4.0,免费,2-3小时,辽河大街西63号,,,
营口,渡口广场,风景名胜,全年,4.1,免费,2-3小时,辽河大街与得胜路交叉口东380米,,,
营口,清真东寺,风景名胜,全年,4.0,免费,2-3小时,新华路北31号,,,
营口,营口植物园,风景名胜,全年,4.1,免费,2-3小时,大庆路44-50号,,,
营口,希望广场,风景名胜,全年,3.5,免费,2-3小时,渤海大街与学府路交叉口东北80米,,,
营口,歪脖老母殿,风景名胜,全年,4.0,免费,2-3小时,团山管理区北海村辽宁团山国家级海洋公园内(北侧),,,
营口,念佛寺,风景名胜,全年,3.9,免费,2-3小时,学府路北24号,,,
营口,和谐广场,风景名胜,全年,4.2,免费,2-3小时,新兴街,,,
营口,东湖广场,风景名胜,全年,4.2,免费,2-3小时,东湖大街与富民路交叉口西南260米,,,
营口,盖州钟鼓楼,风景名胜,全年,4.2,免费,2-3小时,鼓楼街道辰州南路,,,
营口,盖州财神庙,风景名胜,全年,4.3,免费,2-3小时,红旗大街盖州市第一初级中学东北侧约220米,,,
营口,牛头山双泉寺,风景名胜,全年,4.3,免费,2-3小时,虎庄镇,,,
营口,玉皇宫(金龙路),风景名胜,全年,4.1,免费,2-3小时,金龙路玉皇宫(迷镇山娘娘庙西250米),,,
营口,万和寺,风景名胜,全年,4.2,免费,2-3小时,太阳升街道阎峪村凤凰山202国道东侧,,,
营口,靶场休闲广场,风景名胜,全年,3.9,免费,2-3小时,富康路与智泉街交叉口南200米,,,
营口,潜龙广场,风景名胜,全年,4.0,免费,2-3小时,辽河大桥西123号,,,
营口,老边区观音寺,风景名胜,全年,4.0,免费,2-3小时,区明路,,,
营口,仙鹤湾,风景名胜,全年,4.0,免费,2-3小时,滨海大道1号,,,
营口,西崴子烽火台,风景名胜,全年,4.1,免费,2-3小时,[],,,
营口,营口清真寺,风景名胜,全年,3.8,免费,2-3小时,清真寺里,,,
营口,中共奉天支部营口小组纪念馆,风景名胜,全年,0.0,免费,2-3小时,新华路北9号(清华社区新华卫生服务站对过),,,
营口,鹤羊山莲花观,风景名胜,全年,4.0,免费,2-3小时,郑屯村委会,,,
营口,慈航寺,风景名胜,全年,4.0,免费,2-3小时,东城办事处虎斗马峪村,,,
营口,玄贞观,风景名胜,全年,4.1,免费,2-3小时,红旗大街85号,,,
营口,盖州关帝庙,风景名胜,全年,4.2,免费,2-3小时,太阳升街道老爷庙村,,,
营口,辽宁团山国家级海洋公园-观景台,风景名胜,全年,4.1,免费,2-3小时,新区西部滨海旅游带西崴子村南辽宁团山国家级海洋公园(西北角),,,
营口,绣龙森林公园,风景名胜,全年,4.0,免费,2-3小时,红旗大街,,,
