城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
葫芦岛,飞天广场,风景名胜,全年,4.5,免费,2-3小时,龙湾大街东50米,,,
葫芦岛,龙湾海滨风景区,风景名胜,全年,4.6,免费,2-3小时,海滨路南段12号(海滨南路1路终点站),,,
葫芦岛,龙湾公园,风景名胜,全年,4.4,免费,2-3小时,双龙派出所对面,,,
葫芦岛,龙背山公园,风景名胜,全年,4.4,免费,2-3小时,森林公安局东行500米,,,
葫芦岛,三角公园,风景名胜,全年,4.4,免费,2-3小时,群英街与红星路交界处,,,
葫芦岛,兴城古城,风景名胜,全年,4.7,免费,2-3小时,古城街道,,,
葫芦岛,爱心公园,风景名胜,全年,4.3,免费,2-3小时,龙湾大街与海航路交汇处,,,
葫芦岛,葫芦古镇,风景名胜,全年,4.7,免费,2-3小时,北港镇北港实验学校对面,,,
葫芦岛,兴城海滨旅游景区,风景名胜,全年,4.7,免费,2-3小时,兴海南路5段21号,,,
葫芦岛,新大陆广场,风景名胜,全年,4.3,免费,2-3小时,欣蕗园18号,,,
葫芦岛,望海寺,风景名胜,全年,4.4,免费,2-3小时,滨海公园附近,,,
葫芦岛,首山国家级森林公园,风景名胜,全年,4.7,免费,2-3小时,首山路,,,
葫芦岛,双拥广场,风景名胜,全年,4.2,免费,2-3小时,海滨南路与海星路交叉口北220米,,,
葫芦岛,邴家湾海滩,风景名胜,全年,4.7,免费,2-3小时,葫芦岛,,,
葫芦岛,首山湖公园,风景名胜,全年,4.4,免费,2-3小时,龙兴路东侧,,,
葫芦岛,观沧海碣石,风景名胜,全年,4.4,免费,2-3小时,艾姆泰尔德岩西侧50米,,,
葫芦岛,兴城比基尼广场,风景名胜,全年,4.5,免费,2-3小时,新东路与龙海大街交叉口东南约160米,,,
葫芦岛,龙岗公园,风景名胜,全年,4.2,免费,2-3小时,滨海大道,,,
葫芦岛,塔山阻击战纪念馆,风景名胜,全年,3.3,免费,2-3小时,塔山乡塔山村东楼台山顶,,,
葫芦岛,市府广场,风景名胜,全年,3.6,免费,2-3小时,龙湾大街24号,,,
葫芦岛,兴海栈道,风景名胜,全年,4.4,免费,2-3小时,龙回头景区内,,,
葫芦岛,望海寺海滨,风景名胜,全年,4.4,免费,2-3小时,望海寺街道海滨路18号,,,
葫芦岛,龙背山公园动物园,风景名胜,全年,4.2,免费,2-3小时,山水路龙背山公园(东北角),,,
葫芦岛,中国联通惠民广场,风景名胜,全年,4.3,免费,2-3小时,化工街化工九区,,,
葫芦岛,中国石油锦西石化文化宫广场,风景名胜,全年,4.1,免费,2-3小时,新华大街与海滨路交叉口西南80米,,,
葫芦岛,红海栈道,风景名胜,全年,4.5,免费,2-3小时,滨海公路又一村农家院西南520米,,,
葫芦岛,菊花女雕像,风景名胜,全年,4.4,免费,2-3小时,兴海南路5段21号兴城海滨旅游景区内(北侧),,,
葫芦岛,龙山风景区,风景名胜,全年,4.1,免费,2-3小时,[],,,
葫芦岛,月亮河公园,风景名胜,全年,4.1,免费,2-3小时,海晏南路与龙湾南大街交叉口西北320米,,,
葫芦岛,兴城红海滩,风景名胜,全年,4.4,免费,2-3小时,滨海大道南50米,,,
葫芦岛,海贝公园,风景名胜,全年,4.0,免费,2-3小时,山水路与龙湾南大街交叉口西北180米,,,
葫芦岛,连山河公园,风景名胜,全年,4.2,免费,2-3小时,北河路与抚民路交汇东240米,,,
葫芦岛,醉龙湾,风景名胜,全年,4.3,免费,2-3小时,双树乡东窑村和平广场月亮河南侧,,,
葫芦岛,报晓园,风景名胜,全年,4.0,免费,2-3小时,龙程街与海日路交汇处东180米,,,
葫芦岛,礼拜堂,风景名胜,全年,4.0,免费,2-3小时,龙程街65号,,,
葫芦岛,大虹螺山风景区,风景名胜,全年,4.3,免费,2-3小时,大虹螺山北麓,,,
葫芦岛,三礁揽胜,风景名胜,全年,4.3,免费,2-3小时,钓鱼台街道兴海南路5段21号兴城海滨旅游景区内(南侧),,,
葫芦岛,海誓园,风景名胜,全年,4.2,免费,2-3小时,海誓园-告白咖啡屋南侧140米,,,
葫芦岛,茨山河湿地公园,风景名胜,全年,3.9,免费,2-3小时,龙绣街与海辰路交叉口东北100米,,,
葫芦岛,清真寺,风景名胜,全年,4.1,免费,2-3小时,海飞路18-11号,,,
葫芦岛,兴城菊花岛旅游风景区,风景名胜,全年,4.3,免费,2-3小时,辽东湾,,,
葫芦岛,月亮湖公园,风景名胜,全年,4.1,免费,2-3小时,海辰路西150米,,,
葫芦岛,兴城湿地公园,风景名胜,全年,4.4,免费,2-3小时,滨海大道附近,,,
葫芦岛,张学良温泉别墅,风景名胜,全年,4.3,免费,2-3小时,温泉街道铁道部兴城疗养院对面,,,
葫芦岛,兴城古城-城隍庙,风景名胜,全年,4.2,免费,2-3小时,西吊桥胡同85号,,,
葫芦岛,西莲净院,风景名胜,全年,3.9,免费,2-3小时,龙绣街12-1号,,,
葫芦岛,兴城海滨旅游景区-妈祖庙圣境,风景名胜,全年,4.2,免费,2-3小时,滨海公路,,,
葫芦岛,兴海公园,风景名胜,全年,4.2,免费,2-3小时,新东路,,,
葫芦岛,兴城古城-兴城文庙,风景名胜,全年,4.2,免费,2-3小时,古城街道头道牌坊西胡同,,,
葫芦岛,天然寺,风景名胜,全年,4.2,免费,2-3小时,大虹螺山风景区内(西侧),,,
葫芦岛,兴城古城-钟鼓楼,风景名胜,全年,4.2,免费,2-3小时,古城街道永宁街与延辉街交汇处,,,
葫芦岛,五厂文化宫广场,风景名胜,全年,3.7,免费,2-3小时,中国石油锦西石化文化宫,,,
葫芦岛,鹰嘴崖,风景名胜,全年,4.1,免费,2-3小时,龙回头宿营地东北侧450米,,,
葫芦岛,张学良筑港纪念碑,风景名胜,全年,4.2,免费,2-3小时,望海寺海滨(近望海寺公园),,,
葫芦岛,连山天主教堂,风景名胜,全年,4.0,免费,2-3小时,站前街573号,,,
葫芦岛,首山国家级森林公园-朝阳宫,风景名胜,全年,4.0,免费,2-3小时,首山路首山国家级森林公园内(西侧),,,
葫芦岛,望海寺文化广场,风景名胜,全年,4.1,免费,2-3小时,望海街23-11号楼附近,,,
葫芦岛,兴城古城(延辉门),风景名胜,全年,4.2,免费,2-3小时,延辉门东顺墙胡同1-1号附近,,,
葫芦岛,宁远中心广场,风景名胜,全年,4.1,免费,2-3小时,广场西路26附近,,,
葫芦岛,灵佑寺,风景名胜,全年,4.1,免费,2-3小时,[],,,
葫芦岛,兴城古城-蓟辽督师府,风景名胜,全年,4.1,免费,2-3小时,跳板胡同1号,,,
葫芦岛,灵山风景区,风景名胜,全年,4.6,免费,2-3小时,山神庙子乡凉水井子村,,,
葫芦岛,小虹螺山风景区,风景名胜,全年,4.0,免费,2-3小时,[],,,
葫芦岛,中天寺,风景名胜,全年,3.9,免费,2-3小时,塔沟村,,,
葫芦岛,滨海公园(望海街),风景名胜,全年,4.1,免费,2-3小时,望海街与滨海大道交叉口东150米,,,
葫芦岛,宝安寺,风景名胜,全年,4.0,免费,2-3小时,[],,,
葫芦岛,南山公园,风景名胜,全年,3.9,免费,2-3小时,龙湾路,,,
葫芦岛,首山国家级森林公园-烽火台,风景名胜,全年,3.8,免费,2-3小时,首山路首山国家级森林公园,,,
葫芦岛,大虹螺山灵隐寺,风景名胜,全年,4.2,免费,2-3小时,大虹螺山风景区(西北角),,,
葫芦岛,乌云山望海寺,风景名胜,全年,4.1,免费,2-3小时,寺儿堡镇寺前村,,,
葫芦岛,将军府,风景名胜,全年,4.0,免费,2-3小时,古城街道头道牌坊东胡同24号,,,
葫芦岛,地母庙,风景名胜,全年,3.9,免费,2-3小时,[],,,
葫芦岛,基督教堂,风景名胜,全年,4.0,免费,2-3小时,兴田线,,,
葫芦岛,日本侨俘遣返之地,风景名胜,全年,4.3,免费,2-3小时,张学良筑港纪念碑北侧160米,,,
葫芦岛,怪坡,风景名胜,全年,4.2,免费,2-3小时,兴海南路5段21号兴城海滨旅游景区内(南侧),,,
葫芦岛,海滨花海公园,风景名胜,全年,4.0,免费,2-3小时,海滨南路与海逸南路交叉口南420米,,,
葫芦岛,莲花广场,风景名胜,全年,3.8,免费,2-3小时,龙湾大街辅路与海滨路交叉口西南140米,,,
葫芦岛,试锋园,风景名胜,全年,3.7,免费,2-3小时,海滨南路与海星路交叉口东南120米,,,
葫芦岛,兴城古城-宁远驿馆,风景名胜,全年,4.0,免费,2-3小时,古城街道春和街258号(近锦山亘海),,,
