城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
辽阳,东京城遗址公园,风景名胜,全年,4.4,免费,2-3小时,东京陵街道中华大街东京陵乡新城村,,,
辽阳,白塔公园,风景名胜,全年,4.7,免费,2-3小时,中华大街一段60号,,,
辽阳,白塔公园-辽阳广佑寺景区,风景名胜,全年,4.7,免费,2-3小时,中华大街93-1号,,,
辽阳,东京陵,风景名胜,全年,4.4,免费,2-3小时,东京陵街道东京陵村,,,
辽阳,辽阳河东广场,风景名胜,全年,4.2,免费,2-3小时,新城路,,,
辽阳,天佑门,风景名胜,全年,4.2,免费,2-3小时,101省道,,,
辽阳,曹雪芹纪念馆,风景名胜,全年,4.4,免费,2-3小时,武圣路卧狮胡同2号,,,
辽阳,龙鼎山风景区,风景名胜,全年,4.6,免费,2-3小时,新村街道健康路世纪龙鼎南行400米,,,
辽阳,辽阳龙石风景旅游区,风景名胜,全年,4.4,免费,2-3小时,东环路39号,,,
辽阳,文庙广场,风景名胜,全年,4.2,免费,2-3小时,文圣路,,,
辽阳,王尔烈纪念馆,风景名胜,全年,4.4,免费,2-3小时,武圣路206号,,,
辽阳,人参谷森林公园,风景名胜,全年,4.7,免费,2-3小时,华表路与朴姑路交叉口,,,
辽阳,辽阳动物园,风景名胜,全年,4.6,免费,2-3小时,龙鼎山风景区,,,
辽阳,魁星楼景区,风景名胜,全年,4.2,免费,2-3小时,新运大街313-42号附近,,,
辽阳,太子岛风景区,风景名胜,全年,4.1,免费,2-3小时,太子河路与新沙线交叉口东南180米,,,
辽阳,平胡楼遗址,风景名胜,全年,4.4,免费,2-3小时,西顺城路与北顺城街交叉口西,,,
辽阳,科普公园,风景名胜,全年,4.2,免费,2-3小时,四道街,,,
辽阳,辽阳白塔,风景名胜,全年,4.2,免费,2-3小时,中华大街一段60号白塔公园,,,
辽阳,金银园,风景名胜,全年,3.7,免费,2-3小时,东兴路与东四道街交叉口东北100米,,,
辽阳,彭家公馆,风景名胜,全年,4.3,免费,2-3小时,中心路2-7号,,,
辽阳,文庙,风景名胜,全年,4.1,免费,2-3小时,文庙广场内(北侧),,,
辽阳,青峰村露天天池,风景名胜,全年,4.3,免费,2-3小时,青峰村附近,,,
辽阳,天湘观,风景名胜,全年,4.1,免费,2-3小时,[],,,
辽阳,白塔公园-满铁图书馆旧址,风景名胜,全年,4.3,免费,2-3小时,中华大街白塔公园(西侧),,,
辽阳,金银园-观音禅寺,风景名胜,全年,4.1,免费,2-3小时,襄平街道中华大街207号,,,
辽阳,天主堂,风景名胜,全年,4.1,免费,2-3小时,曙光路111号,,,
辽阳,荟萃湖,风景名胜,全年,4.1,免费,2-3小时,荟萃湖街,,,
辽阳,九一八事变策划地纪念馆,风景名胜,全年,4.2,免费,2-3小时,胜利街道襄平街道和平路15号,,,
辽阳,清风寺,风景名胜,全年,4.3,免费,2-3小时,首山乡马伊屯村,,,
辽阳,瓦子沟旅游风景区,风景名胜,全年,4.4,免费,2-3小时,汤河镇瓦子沟村自然生态旅游区,,,
辽阳,首山公园,风景名胜,全年,4.2,免费,2-3小时,人民街,,,
辽阳,辽阳小长城,风景名胜,全年,4.2,免费,2-3小时,东环路39号辽阳龙石风景旅游区内(西侧),,,
辽阳,宏伟广场,风景名胜,全年,4.2,免费,2-3小时,泰华街与健康路交叉口东北160米,,,
辽阳,永宁寺,风景名胜,全年,4.1,免费,2-3小时,安康路,,,
辽阳,金蕊秋澜,风景名胜,全年,4.2,免费,2-3小时,府前街与新华路交叉口东140米,,,
辽阳,博爱园,风景名胜,全年,3.9,免费,2-3小时,民主路95号,,,
辽阳,清真寺,风景名胜,全年,4.1,免费,2-3小时,武圣路222号,,,
辽阳,永安寺,风景名胜,全年,4.1,免费,2-3小时,新运大街,,,
辽阳,太子岛天鹅湖,风景名胜,全年,4.1,免费,2-3小时,[],,,
辽阳,清宁寺,风景名胜,全年,4.4,免费,2-3小时,朝官寺村,,,
辽阳,灯塔迷宫花园,风景名胜,全年,4.2,免费,2-3小时,张台子镇,,,
辽阳,关帝庙,风景名胜,全年,4.2,免费,2-3小时,西大街208号,,,
辽阳,七圣寺,风景名胜,全年,4.2,免费,2-3小时,凌云街,,,
辽阳,辽阳明城墙遗址公园,风景名胜,全年,4.1,免费,2-3小时,曙光路与北顺城街交叉口西北20米,,,
