城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
铁岭,桂林公园,风景名胜,全年,4.1,免费,2-3小时,澜沧江路与嵩山路交叉口西南160米,,,
铁岭,慈觉禅寺,风景名胜,全年,4.2,免费,2-3小时,凡河站村,,,
铁岭,龙首山,风景名胜,全年,4.4,免费,2-3小时,南马路(银州区柴河街平安社区卫生服务站东南),,,
铁岭,铁岭凡河水利风景区,风景名胜,全年,4.1,免费,2-3小时,金沙江路与昆仑山路交叉口西南100米,,,
铁岭,铁岭市龙山风景名胜区,风景名胜,全年,4.1,免费,2-3小时,银州路与柴河街交叉口东420米,,,
铁岭,银冈书院,风景名胜,全年,4.4,免费,2-3小时,银冈路图书馆巷,,,
铁岭,铁岭博物馆,科教文化服务,全年,4.6,免费,2-3小时,文化街88号,,,
铁岭,人民公园,风景名胜,全年,4.2,免费,2-3小时,龙山风景名胜区,,,
铁岭,铁岭五角湖风景区,风景名胜,全年,4.0,免费,2-3小时,凡河乡的中部,,,
铁岭,龙园,风景名胜,全年,4.2,免费,2-3小时,南马路与龙山宾馆路交叉口西80米,,,
铁岭,纯阳宫,风景名胜,全年,4.2,免费,2-3小时,圣水寺东侧110米,,,
铁岭,圆通观,风景名胜,全年,4.0,免费,2-3小时,铜钟街93号,,,
铁岭,银冈书院-铁岭市周恩来少年读书旧址纪念馆,风景名胜,全年,4.3,免费,2-3小时,银冈路图书馆巷银冈书院,,,
铁岭,白塔,风景名胜,全年,4.3,免费,2-3小时,广裕街,,,
铁岭,灵宝禅寺,风景名胜,全年,4.2,免费,2-3小时,银州区经济开发区沈环线灵宝寺,,,
铁岭,药王庙,风景名胜,全年,4.1,免费,2-3小时,G91辽中环线高速,,,
铁岭,大台山灵山寺风景区,风景名胜,全年,4.0,免费,2-3小时,镇西堡镇大台山,,,
铁岭,清真寺,风景名胜,全年,4.2,免费,2-3小时,柴河街62号,,,
铁岭,如意台,风景名胜,全年,3.9,免费,2-3小时,昆仑山路,,,
铁岭,兀术城,风景名胜,全年,4.4,免费,2-3小时,迎宾路,,,
铁岭,大凡河地藏寺,风景名胜,全年,3.8,免费,2-3小时,[],,,
铁岭,铁岭创艺小镇,风景名胜,全年,3.8,免费,2-3小时,凡河镇铁岭县物流城,,,
铁岭,明月禅寺,风景名胜,全年,4.3,免费,2-3小时,兀术街街道兀术街道古城街18号,,,
铁岭,望云寺,风景名胜,全年,4.1,免费,2-3小时,腰堡镇石山子村,,,
铁岭,文化公园,风景名胜,全年,4.1,免费,2-3小时,人民路111栋3单元301室,,,
铁岭,龙首山-慈清寺,风景名胜,全年,4.0,免费,2-3小时,岭东街58号,,,
铁岭,赛拉小镇,风景名胜,全年,4.1,免费,2-3小时,莲花湖湿地公园内(西南角),,,
铁岭,铁岭体育公园,风景名胜,全年,4.1,免费,2-3小时,岭东路原卫校公寓正楼一楼,,,
铁岭,马蓬沟古渡口,风景名胜,全年,3.9,免费,2-3小时,北三路18号,,,
铁岭,玉皇阁,风景名胜,全年,4.3,免费,2-3小时,[],,,
铁岭,整个鹦鹉,风景名胜,全年,2.9,免费,2-3小时,长江路80-4号2-1-1状元府4幢2-1-1,,,
铁岭,龙首山-四望阁,风景名胜,全年,4.0,免费,2-3小时,岭东街道银州路龙首山风景区四望阁,,,
铁岭,龙首千秋,风景名胜,全年,4.0,免费,2-3小时,龙首山内(北侧),,,
铁岭,铁岭永兴寺,风景名胜,全年,4.1,免费,2-3小时,李懿线,,,
铁岭,观音阁道观,风景名胜,全年,4.0,免费,2-3小时,[],,,
铁岭,红石郡假日广场,风景名胜,全年,3.8,免费,2-3小时,嘉陵江路与钟山路交叉口西北40米,,,
铁岭,康熙行宫,风景名胜,全年,3.6,免费,2-3小时,黑龙江路50号,,,
铁岭,铁岭富士山,风景名胜,全年,3.9,免费,2-3小时,[],,,
铁岭,龙首山-魁星楼,风景名胜,全年,3.9,免费,2-3小时,岭东街58号,,,
铁岭,铁岭动物园,风景名胜,全年,4.0,免费,2-3小时,红旗街道南环路48号,,,
铁岭,圣水寺,风景名胜,全年,3.9,免费,2-3小时,树芽屯分场,,,
铁岭,象牙山风景名胜区,风景名胜,全年,4.6,免费,2-3小时,松山镇英城子村,,,
铁岭,月亮湖,风景名胜,全年,4.2,免费,2-3小时,中央大街西50米,,,
铁岭,娘娘庙,风景名胜,全年,3.9,免费,2-3小时,盘龙山圣水讲寺东南,,,
铁岭,新湖公园,风景名胜,全年,4.1,免费,2-3小时,铁秀路19号,,,
铁岭,龙首山-驻跸塔,风景名胜,全年,3.9,免费,2-3小时,南环路龙首山(西南角),,,
铁岭,调兵山公园,风景名胜,全年,4.1,免费,2-3小时,调兵山,,,
铁岭,雷锋纪念馆,风景名胜,全年,0.0,免费,2-3小时,103省道附近,,,
铁岭,任辅臣纪念馆,风景名胜,全年,0.0,免费,2-3小时,任辅臣红色教育基地东北侧,,,
铁岭,天主教,风景名胜,全年,4.0,免费,2-3小时,繁荣路75-77号,,,
铁岭,铁岭盘龙山圣水讲寺,风景名胜,全年,3.9,免费,2-3小时,铁岭经济开发区顾官屯1组,,,
铁岭,聚宝湖,风景名胜,全年,4.4,免费,2-3小时,晓南镇前孤山子村(中润石油服务区东侧),,,
铁岭,张学良百年人生展,风景名胜,全年,4.1,免费,2-3小时,103省道西100米,,,
铁岭,少帅陵,风景名胜,全年,3.9,免费,2-3小时,[],,,
铁岭,莲花湖国家湿地公园管理站,风景名胜,全年,3.9,免费,2-3小时,泰山路88-4附近,,,
铁岭,沈阳抚顺铁岭三界碑,风景名胜,全年,4.0,免费,2-3小时,[],,,
铁岭,保安禅寺,风景名胜,全年,4.0,免费,2-3小时,沈环线与李花线交叉口东北260米,,,
铁岭,秀峰塔,风景名胜,全年,3.9,免费,2-3小时,风景区内,,,
铁岭,观音阁,风景名胜,全年,3.8,免费,2-3小时,[],,,
铁岭,青云寺,风景名胜,全年,4.1,免费,2-3小时,太平寨村太平寨后洞,,,
铁岭,七里村景区,风景名胜,全年,4.1,免费,2-3小时,龙山乡七里村黄金屯七水线,,,
铁岭,铁岭市国防教育主题公园,风景名胜,全年,4.1,免费,2-3小时,银州路48号,,,
铁岭,神仙洞,风景名胜,全年,4.0,免费,2-3小时,[],,,
铁岭,七里村音乐喷泉,风景名胜,全年,4.2,免费,2-3小时,岭东路62号,,,
铁岭,凤冠山,风景名胜,全年,3.8,免费,2-3小时,凡河新区黑龙江路与嵩山路交汇处莲花湖国家城市湿地公园,,,
铁岭,永宁寺,风景名胜,全年,3.9,免费,2-3小时,初杏宸园北侧,,,
铁岭,观陵山,风景名胜,全年,3.9,免费,2-3小时,103省道西50米,,,
铁岭,南岭转盘,风景名胜,全年,3.9,免费,2-3小时,铁秀路与和平大街交叉口西北20米,,,
铁岭,观景台,风景名胜,全年,3.8,免费,2-3小时,[],,,
铁岭,麒棂香阁,风景名胜,全年,3.0,免费,2-3小时,凡河镇阮家村,,,
铁岭,帽山基督教堂,风景名胜,全年,3.8,免费,2-3小时,富州路98号,,,
铁岭,春晓公园,风景名胜,全年,3.8,免费,2-3小时,晓南镇春晓公园,,,
铁岭,象牙山风景区影视基地,风景名胜,全年,4.4,免费,2-3小时,松山镇康屯村,,,
铁岭,砬子山,风景名胜,全年,3.9,免费,2-3小时,法库县盛江汇考肉海鲜自肋西侧250米,,,
铁岭,兵山广场,风景名胜,全年,3.9,免费,2-3小时,兵山广场(人民路西),,,
铁岭,惠丰广场,风景名胜,全年,3.8,免费,2-3小时,柴河街南段68号,,,
铁岭,关帝庙,风景名胜,全年,3.8,免费,2-3小时,横道河子镇上石村卫生所西侧,,,
铁岭,龙首山-观音院,风景名胜,全年,3.7,免费,2-3小时,龙首山(东北角),,,
铁岭,周恩来诗碑,风景名胜,全年,3.7,免费,2-3小时,南马路108号,,,
铁岭,李成梁宗族墓,风景名胜,全年,3.8,免费,2-3小时,李如松墓东北侧100米,,,
铁岭,辽海基督教活动点,风景名胜,全年,3.7,免费,2-3小时,辽海北路9号,,,
铁岭,锁龙沟,风景名胜,全年,4.0,免费,2-3小时,[],,,
铁岭,兀术泉,风景名胜,全年,3.8,免费,2-3小时,[],,,
铁岭,基督教堂,风景名胜,全年,4.0,免费,2-3小时,基督教堂(102国道南),,,
铁岭,铜钟园,风景名胜,全年,3.6,免费,2-3小时,铜钟巷与育才巷交叉口西南60米,,,
铁岭,家文化广场,风景名胜,全年,4.0,免费,2-3小时,兀术街街道古城街明月禅寺附近,,,
铁岭,开原植物园,风景名胜,全年,4.3,免费,2-3小时,文化路,,,
铁岭,银州区基督教会福音堂,风景名胜,全年,3.7,免费,2-3小时,繁荣路44-2号附近,,,
铁岭,龙首山-八景广场,风景名胜,全年,3.7,免费,2-3小时,南马路88号,,,
