城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
锦州,锦州古塔历史文化公园,风景名胜,全年,4.7,免费,2-3小时,北街街道古城街道士英南街6号,121.144,41.1173,
锦州,辽沈战役纪念馆,风景名胜,全年,4.6,免费,2-3小时,重庆路36号,121.144,41.1173,
锦州,南山公园,风景名胜,全年,4.7,免费,2-3小时,锦州市果树农场松山新区大碑,121.144,41.1173,
锦州,市府广场,风景名胜,全年,4.2,免费,2-3小时,市府路68号(近锦州市市政府),121.144,41.1173,
锦州,锦州动物园,风景名胜,全年,4.6,免费,2-3小时,石桥子街道人民街5段11号,121.144,41.1173,
锦州,儿童公园,风景名胜,全年,4.3,免费,2-3小时,路三段9斜对过,121.144,41.1173,
锦州,锦州北普陀山风景名胜区,风景名胜,全年,4.7,免费,2-3小时,重观路1号,121.144,41.1173,
锦州,布达拉宫广场,风景名胜,全年,4.8,免费,2-3小时,九华山风景区,121.144,41.1173,
锦州,九华山公园,风景名胜,全年,4.7,免费,2-3小时,商业街与环城路交汇处以南,121.144,41.1173,
锦州,宝石广场,风景名胜,全年,4.2,免费,2-3小时,上海路四段5号甲56号,121.144,41.1173,
锦州,八一公园,风景名胜,全年,4.3,免费,2-3小时,广州街18号,121.144,41.1173,
锦州,女儿河公园,风景名胜,全年,4.1,免费,2-3小时,福州街与204省道交叉口西北340米,121.144,41.1173,
锦州,祐国寺,风景名胜,全年,4.2,免费,2-3小时,士英南街9号,121.144,41.1173,
锦州,玉佛禅寺,风景名胜,全年,4.2,免费,2-3小时,饶阳街道人民街玉佛寺(近古塔转盘),121.144,41.1173,
锦州,天主堂,风景名胜,全年,4.2,免费,2-3小时,山西街1-11号附近,121.144,41.1173,
锦州,西湖湿地公园,风景名胜,全年,4.2,免费,2-3小时,凌西大街,121.144,41.1173,
锦州,广济寺塔,风景名胜,全年,4.2,免费,2-3小时,南街与东街交叉口西100米,121.144,41.1173,
锦州,蓬莱大集(城市文旅大集),风景名胜,全年,4.2,免费,2-3小时,锦朝街与蓬来北街交叉口西北140米,121.144,41.1173,
锦州,清真寺,风景名胜,全年,4.3,免费,2-3小时,上海路58号,121.144,41.1173,
锦州,卧波桥,风景名胜,全年,3.9,免费,2-3小时,光彩立交桥女儿河公园内(东侧),121.144,41.1173,
锦州,东北交通大学遗址公园,风景名胜,全年,4.1,免费,2-3小时,敬业东里68号楼东侧,121.144,41.1173,
锦州,善来寺,风景名胜,全年,4.3,免费,2-3小时,[],121.144,41.1173,
锦州,弘法寺,风景名胜,全年,4.1,免费,2-3小时,太安里125号楼71号,121.144,41.1173,
锦州,岩井寺风景区,风景名胜,全年,4.2,免费,2-3小时,209省道,121.144,41.1173,
锦州,锦州基督教堂,风景名胜,全年,4.1,免费,2-3小时,洛阳路三段32号,121.144,41.1173,
锦州,锦州苹果廉政文化广场,风景名胜,全年,4.2,免费,2-3小时,苹果廉政文化景区内,121.144,41.1173,
锦州,石化公园,风景名胜,全年,4.2,免费,2-3小时,石化医院西门旁,121.144,41.1173,
锦州,南桥水上公园,风景名胜,全年,4.1,免费,2-3小时,山东街与南昌路交叉口西南180米,121.144,41.1173,
锦州,锦州北普陀山风景名胜区北普陀寺,风景名胜,全年,4.3,免费,2-3小时,勃海路1号锦州北普陀山风景名胜区内(西侧),121.144,41.1173,
锦州,锦州锦汤山庄温泉,风景名胜,全年,4.3,免费,2-3小时,女儿河乡北汤河子村,121.144,41.1173,
锦州,辽沈战役配水池战斗遗址,风景名胜,全年,4.5,免费,2-3小时,士英街道松坡路(辽宁工业大学东北侧约100米),121.144,41.1173,
锦州,锦州北普陀山风景名胜区-观音古洞,风景名胜,全年,4.2,免费,2-3小时,笔架山开发区勃海路1号锦州北普陀山旅游区,121.144,41.1173,
锦州,辽沈战役烈士陵园,风景名胜,全年,0.0,免费,2-3小时,北京路五段一号,121.144,41.1173,
锦州,辽沈战役纪念馆主体陈列馆,风景名胜,全年,4.2,免费,2-3小时,北京路与爱民街交叉口西南160米,121.144,41.1173,
锦州,锦州城址,风景名胜,全年,3.9,免费,2-3小时,人民街1-112号,121.144,41.1173,
锦州,边墙子虎溪民俗文化村,风景名胜,全年,4.2,免费,2-3小时,虎溪文化村北侧,121.144,41.1173,
锦州,南山公园-观景台,风景名胜,全年,3.9,免费,2-3小时,松山赋西侧,121.144,41.1173,
锦州,锦铁768公园,风景名胜,全年,4.0,免费,2-3小时,延安路与贵州街交叉口北340米,121.144,41.1173,
锦州,慈贤寺,风景名胜,全年,4.0,免费,2-3小时,北一里古城新苑1-103号,121.144,41.1173,
锦州,东湖广场,风景名胜,全年,4.0,免费,2-3小时,滨河路,121.144,41.1173,
锦州,萧军公园,风景名胜,全年,4.2,免费,2-3小时,新村街15号,121.144,41.1173,
锦州,东湖文化广场,风景名胜,全年,4.1,免费,2-3小时,卫东街8号东湖公园内(西侧),121.144,41.1173,
锦州,辽西九华山文化广场,风景名胜,全年,4.3,免费,2-3小时,国庆路135号,121.144,41.1173,
锦州,宪法广场,风景名胜,全年,3.8,免费,2-3小时,卫东街8号东湖公园内(西侧),121.144,41.1173,
锦州,南山公园-广场,风景名胜,全年,3.8,免费,2-3小时,果树农场松山新区大碑南山公园(东北角),121.144,41.1173,
锦州,凌河公园-观景台,风景名胜,全年,3.9,免费,2-3小时,士英南街与阜康路交叉口西南220米,121.144,41.1173,
锦州,明珠广场,风景名胜,全年,4.2,免费,2-3小时,健康路30号,121.144,41.1173,
锦州,龟山长城遗址,风景名胜,全年,4.1,免费,2-3小时,[],121.144,41.1173,
锦州,锦州北普陀山风景名胜区-二郎洞,风景名胜,全年,4.0,免费,2-3小时,北普陀山风景名胜区,121.144,41.1173,
锦州,慈海寺,风景名胜,全年,4.3,免费,2-3小时,商业街与环城路交汇处(近辽西九华山景区),121.144,41.1173,
锦州,白老虎屯战斗遗址,风景名胜,全年,0.0,免费,2-3小时,虎连街与松坡路交叉口北320米,121.144,41.1173,
锦州,崇寿寺,风景名胜,全年,3.9,免费,2-3小时,南沟里曙光街10号,121.144,41.1173,
锦州,锦州基督教以琳堂,风景名胜,全年,3.9,免费,2-3小时,善德街西50米,121.144,41.1173,
锦州,观音阁,风景名胜,全年,3.8,免费,2-3小时,胜昔路与南街交叉口西南40米,121.144,41.1173,
锦州,安和里公园,风景名胜,全年,3.9,免费,2-3小时,云飞街29号,121.144,41.1173,
锦州,消防文化主题公园,风景名胜,全年,3.8,免费,2-3小时,松山新区吉祥街,121.144,41.1173,
锦州,欢乐岛,风景名胜,全年,3.9,免费,2-3小时,靖东街与南阳路交叉口南340米,121.144,41.1173,
锦州,小凌禅寺,风景名胜,全年,4.0,免费,2-3小时,双羊村紫荆山上,121.144,41.1173,
