城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
阜新,解放广场,风景名胜,全年,4.5,免费,2-3小时,西山路与解放广场交汇处,121.6148,42.0053,
阜新,人民公园,风景名胜,全年,4.3,免费,2-3小时,民族街40号(近花园市场东门),121.6148,42.0053,
阜新,海州露天矿国家矿山公园,风景名胜,全年,4.6,免费,2-3小时,高德街道煤城路与太平大街交汇处,121.6148,42.0053,
阜新,玉龙湖公园,风景名胜,全年,4.5,免费,2-3小时,玉龙街道解放大街玉龙湖,121.6148,42.0053,
阜新,三一八公园,风景名胜,全年,4.3,免费,2-3小时,育红路22-6-1门,121.6148,42.0053,
阜新,红树广场,风景名胜,全年,4.2,免费,2-3小时,红树路33号,121.6148,42.0053,
阜新,海州庙,风景名胜,全年,4.4,免费,2-3小时,海州街113号海州庙会,121.6148,42.0053,
阜新,太平体育公园,风景名胜,全年,4.3,免费,2-3小时,"红河街以西,红工路以北,玉带园小区以东,细河以南",121.6148,42.0053,
阜新,阜新万人坑死难矿工纪念馆,风景名胜,全年,4.3,免费,2-3小时,新园街1号,121.6148,42.0053,
阜新,细河公园,风景名胜,全年,4.0,免费,2-3小时,利民路与滨河路交汇北200米,121.6148,42.0053,
阜新,西山水塔公园,风景名胜,全年,4.2,免费,2-3小时,开源路,121.6148,42.0053,
阜新,阜新宝地斯帕温泉度假区,风景名胜,全年,4.7,免费,2-3小时,东梁镇宝地斯帕温泉小镇(阜锦高速口南行3.5公里),121.6148,42.0053,
阜新,海棠山风景区,风景名胜,全年,4.6,免费,2-3小时,大板镇大板村西北2公里处,121.6148,42.0053,
阜新,瑞应寺,风景名胜,全年,4.7,免费,2-3小时,佛寺镇佛寺村本街,121.6148,42.0053,
阜新,太平寺,风景名胜,全年,4.1,免费,2-3小时,红纬路17号,121.6148,42.0053,
阜新,月亮湾森林公园,风景名胜,全年,4.2,免费,2-3小时,西环路北头,121.6148,42.0053,
阜新,街心广场(电工街),风景名胜,全年,4.1,免费,2-3小时,中华路86号,121.6148,42.0053,
阜新,太平钟楼,风景名胜,全年,4.1,免费,2-3小时,煤城路,121.6148,42.0053,
阜新,塔山风景区,风景名胜,全年,4.3,免费,2-3小时,905县道西100米,121.6148,42.0053,
阜新,松涛湖,风景名胜,全年,4.3,免费,2-3小时,四合镇,121.6148,42.0053,
阜新,月亮广场,风景名胜,全年,4.0,免费,2-3小时,细河公园(西南角),121.6148,42.0053,
阜新,关山沟景区,风景名胜,全年,4.2,免费,2-3小时,市环线东瓦村,121.6148,42.0053,
阜新,人民广场(人民大街),风景名胜,全年,4.0,免费,2-3小时,人民大街,121.6148,42.0053,
阜新,青年创业广场,风景名胜,全年,3.4,免费,2-3小时,中华路104号14附近,121.6148,42.0053,
阜新,清真寺,风景名胜,全年,4.0,免费,2-3小时,前进路东出口,121.6148,42.0053,
阜新,市北森林公园,风景名胜,全年,4.1,免费,2-3小时,龙湖路与解放大街交叉口西南400米,121.6148,42.0053,
阜新,建设广场,风景名胜,全年,3.9,免费,2-3小时,红树路106号312号,121.6148,42.0053,
阜新,希日塔拉公园,风景名胜,全年,4.2,免费,2-3小时,人民大街73号,121.6148,42.0053,
阜新,金刚城报恩禅寺,风景名胜,全年,4.2,免费,2-3小时,松涛湖风景区,121.6148,42.0053,
阜新,文殊寺,风景名胜,全年,3.9,免费,2-3小时,海新路194号,121.6148,42.0053,
阜新,迎宾广场(迎宾大街),风景名胜,全年,3.9,免费,2-3小时,迎宾广场与阜锦公路交叉口东60米,121.6148,42.0053,
阜新,水上公园,风景名胜,全年,4.0,免费,2-3小时,海新路东段,121.6148,42.0053,
阜新,东苑小区公园,风景名胜,全年,4.0,免费,2-3小时,玫瑰巷9号,121.6148,42.0053,
阜新,吉祥寺,风景名胜,全年,4.2,免费,2-3小时,公官营子村101国道北2.5公里,121.6148,42.0053,
