城市,景点名称,类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度,电话
鞍山,玉佛山风景区-二一九公园,风景名胜,全年,4.6,免费,2-3小时,园林路64号,,,
鞍山,玉佛山,风景名胜,全年,4.4,免费,2-3小时,绿化街58号,,,
鞍山,烈士山公园,风景名胜,全年,4.5,免费,2-3小时,山南烈士山人防公园(中华南路西),,,
鞍山,鞍钢博物馆,风景名胜,全年,4.7,免费,2-3小时,环钢路1号(鞍钢正门西侧),,,
鞍山,鞍山动物园,风景名胜,全年,4.6,免费,2-3小时,二一九路64号二一九公园内,,,
鞍山,玉佛苑,风景名胜,全年,4.7,免费,2-3小时,鞍山市高新区绿化街58号,,,
鞍山,胜利广场,风景名胜,全年,4.5,免费,2-3小时,胜利街道五一路18-8号,,,
鞍山,永乐公园,风景名胜,全年,4.4,免费,2-3小时,民生西路与交通路交叉口旁(鞍山第六中学),,,
鞍山,玉佛山风景区-罗汉圣地,风景名胜,全年,3.9,免费,2-3小时,天山路39号,,,
鞍山,清真寺,风景名胜,全年,4.3,免费,2-3小时,铁西七道街122号,,,
鞍山,玉佛寺,风景名胜,全年,4.4,免费,2-3小时,绿化街58号,,,
鞍山,孟泰公园,风景名胜,全年,4.4,免费,2-3小时,鞍千路与中华北路交汇处,,,
鞍山,千山风景区,风景名胜,全年,4.8,免费,2-3小时,千山东路1号千山景区广播站附近,,,
鞍山,东山风景区,风景名胜,全年,4.0,免费,2-3小时,绿化街58号玉佛山,,,
鞍山,鞍山市铁东区绿化街基督教堂,风景名胜,全年,4.3,免费,2-3小时,绿化街41-1号附近,,,
鞍山,鞍山铁东工人街彩绘墙,风景名胜,全年,4.3,免费,2-3小时,常青街19号,,,
鞍山,汤岗子温泉,风景名胜,全年,4.4,免费,2-3小时,汤岗子镇温泉街1号,,,
鞍山,新营广场,风景名胜,全年,4.1,免费,2-3小时,东解放路200号,,,
鞍山,老院子景区,风景名胜,全年,4.6,免费,2-3小时,316省道,,,
鞍山,千山-仙人台国家森林公园,风景名胜,全年,4.0,免费,2-3小时,温泉街道千山街道千山东路79号千山风景名胜区,,,
鞍山,219公园乐民健身广场,风景名胜,全年,4.1,免费,2-3小时,绿化街,,,
