日期,景点名称,风险等级,天气,建议
2025-12-25,沈阳故宫,低,多云,注意安全，谨慎出行
2025-12-26,沈阳故宫,低,阴,天气适宜出行
2025-12-27,沈阳故宫,中,阴,天气适宜出行
2025-12-28,沈阳故宫,中,晴,天气适宜出行
2025-12-29,沈阳故宫,低,多云,天气适宜出行
2025-12-30,沈阳故宫,低,中雨,天气适宜出行
2025-12-31,沈阳故宫,低,晴,天气适宜出行
2025-12-25,大连老虎滩海洋公园,高,中雨,天气适宜出行
2025-12-26,大连老虎滩海洋公园,中,中雨,注意安全，谨慎出行
2025-12-27,大连老虎滩海洋公园,高,小雨,天气适宜出行
2025-12-28,大连老虎滩海洋公园,低,小雨,注意安全，谨慎出行
2025-12-29,大连老虎滩海洋公园,中,小雨,天气适宜出行
2025-12-30,大连老虎滩海洋公园,中,多云,注意安全，谨慎出行
2025-12-31,大连老虎滩海洋公园,低,中雨,天气适宜出行
2025-12-25,鞍山千山风景区,高,晴,天气适宜出行
2025-12-26,鞍山千山风景区,高,中雨,天气适宜出行
2025-12-27,鞍山千山风景区,低,阴,注意安全，谨慎出行
2025-12-28,鞍山千山风景区,低,小雨,注意安全，谨慎出行
2025-12-29,鞍山千山风景区,中,小雨,天气适宜出行
2025-12-30,鞍山千山风景区,低,小雨,天气适宜出行
2025-12-31,鞍山千山风景区,中,晴,天气适宜出行
2025-12-25,本溪关门山国家森林公园,低,中雨,注意安全，谨慎出行
2025-12-26,本溪关门山国家森林公园,高,小雨,天气适宜出行
2025-12-27,本溪关门山国家森林公园,低,晴,天气适宜出行
2025-12-28,本溪关门山国家森林公园,低,小雨,天气适宜出行
2025-12-29,本溪关门山国家森林公园,中,阴,注意安全，谨慎出行
2025-12-30,本溪关门山国家森林公园,高,阴,注意安全，谨慎出行
2025-12-31,本溪关门山国家森林公园,中,中雨,天气适宜出行
2025-12-25,丹东鸭绿江断桥,中,晴,注意安全，谨慎出行
2025-12-26,丹东鸭绿江断桥,低,阴,天气适宜出行
2025-12-27,丹东鸭绿江断桥,中,晴,天气适宜出行
2025-12-28,丹东鸭绿江断桥,低,多云,注意安全，谨慎出行
2025-12-29,丹东鸭绿江断桥,低,中雨,天气适宜出行
2025-12-30,丹东鸭绿江断桥,低,多云,注意安全，谨慎出行
2025-12-31,丹东鸭绿江断桥,低,中雨,注意安全，谨慎出行
