日期,城市,最高气温,最低气温,天气状况,风力,降水量
2013-01-01,葫芦岛,-7,5,中雨,4级,38
2013-01-02,葫芦岛,12,7,雪,4级,23
2013-01-03,葫芦岛,35,-16,小雨,1级,63
2013-01-04,葫芦岛,-6,-6,大雨,4级,4
2013-01-05,葫芦岛,4,20,晴,2级,89
2013-01-06,葫芦岛,-6,24,阴,4级,52
2013-01-07,葫芦岛,8,-1,多云,2级,16
2013-01-08,葫芦岛,35,-15,大雨,0级,56
2013-01-09,葫芦岛,-10,-3,雪,2级,97
2013-01-10,葫芦岛,24,15,中雨,1级,90
2013-01-11,葫芦岛,23,20,小雨,2级,94
2013-01-12,葫芦岛,3,-7,阴,3级,2
2013-01-13,葫芦岛,-5,-6,雪,3级,62
2013-01-14,葫芦岛,20,15,阴,4级,29
2013-01-15,葫芦岛,-9,20,小雨,2级,87
2013-01-16,葫芦岛,10,3,中雨,6级,66
2013-01-17,葫芦岛,-3,19,大雨,2级,75
2013-01-18,葫芦岛,25,-1,中雨,6级,22
2013-01-19,葫芦岛,-4,-15,大雨,2级,12
2013-01-20,葫芦岛,-6,13,晴,4级,89
2013-01-21,葫芦岛,-6,21,阴,5级,36
2013-01-22,葫芦岛,17,-6,多云,5级,73
2013-01-23,葫芦岛,31,-13,中雨,5级,98
2013-01-24,葫芦岛,29,23,晴,0级,63
2013-01-25,葫芦岛,35,21,小雨,6级,83
2013-01-26,葫芦岛,24,3,阴,5级,30
2013-01-27,葫芦岛,1,-5,大雨,2级,95
2013-01-28,葫芦岛,25,17,多云,4级,39
2013-01-29,葫芦岛,23,19,小雨,2级,6
2013-01-30,葫芦岛,-6,14,阴,4级,14
2013-01-31,葫芦岛,21,3,阴,2级,29
2013-02-01,葫芦岛,-5,4,小雨,0级,71
2013-02-02,葫芦岛,18,9,多云,5级,84
2013-02-03,葫芦岛,4,3,多云,4级,42
2013-02-04,葫芦岛,26,22,小雨,1级,86
2013-02-05,葫芦岛,12,-4,阴,0级,59
