日期,城市,最高气温,最低气温,天气状况,风力,降水量
2013-01-01,阜新,22,20,晴,3级,38
2013-01-02,阜新,27,14,雪,2级,84
2013-01-03,阜新,1,16,晴,2级,40
2013-01-04,阜新,24,7,雪,2级,56
2013-01-05,阜新,26,13,小雨,5级,1
2013-01-06,阜新,23,2,雪,5级,46
2013-01-07,阜新,17,16,小雨,1级,14
2013-01-08,阜新,-3,-7,阴,4级,87
2013-01-09,阜新,-1,-11,雪,4级,75
2013-01-10,阜新,3,-18,小雨,4级,36
2013-01-11,阜新,14,-9,小雨,0级,27
2013-01-12,阜新,13,4,中雨,4级,92
2013-01-13,阜新,14,15,多云,0级,2
2013-01-14,阜新,11,11,小雨,3级,68
2013-01-15,阜新,31,-13,小雨,3级,64
2013-01-16,阜新,22,-12,晴,4级,31
2013-01-17,阜新,10,-15,晴,1级,25
2013-01-18,阜新,33,4,小雨,6级,40
2013-01-19,阜新,35,21,晴,5级,66
2013-01-20,阜新,29,7,大雨,1级,93
2013-01-21,阜新,-9,24,雪,0级,53
2013-01-22,阜新,32,19,中雨,0级,6
2013-01-23,阜新,2,4,大雨,5级,68
2013-01-24,阜新,16,-11,中雨,5级,99
2013-01-25,阜新,6,-19,中雨,1级,33
2013-01-26,阜新,-9,-4,阴,5级,86
2013-01-27,阜新,-3,-14,小雨,0级,74
2013-01-28,阜新,16,3,雪,0级,69
2013-01-29,阜新,21,11,多云,3级,99
2013-01-30,阜新,8,8,阴,2级,89
2013-01-31,阜新,-4,-2,多云,2级,33
2013-02-01,阜新,34,0,小雨,3级,91
2013-02-02,阜新,33,6,多云,6级,35
2013-02-03,阜新,34,-19,大雨,5级,92
2013-02-04,阜新,3,15,大雨,6级,93
2013-02-05,阜新,11,2,多云,3级,58
2013-02-06,阜新,10,-15,阴,5级,81
2013-02-07,阜新,6,18,大雨,1级,90
2013-02-08,阜新,-4,21,阴,2级,90
2013-02-09,阜新,2,25,大雨,1级,67
2013-02-10,阜新,5,-2,阴,3级,44
2013-02-11,阜新,29,-9,多云,2级,23
2013-02-12,阜新,19,-9,大雨,5级,97
2013-02-13,阜新,6,-2,小雨,3级,3
2013-02-14,阜新,22,5,晴,6级,26
2013-02-15,阜新,-4,24,大雨,5级,81
2013-02-16,阜新,15,-4,中雨,2级,57
2013-02-17,阜新,-9,-2,晴,3级,58
2013-02-18,阜新,5,1,多云,5级,20
2013-02-19,阜新,-7,-15,阴,4级,21
2013-02-20,阜新,23,16,小雨,3级,70
2013-02-21,阜新,-9,0,中雨,6级,32
2013-02-22,阜新,8,-7,多云,6级,3
2013-02-23,阜新,4,-9,小雨,2级,16
2013-02-24,阜新,12,14,阴,0级,73
2013-02-25,阜新,6,3,晴,2级,37
2013-02-26,阜新,6,-15,晴,5级,84
2013-02-27,阜新,17,-14,阴,4级,77
2013-02-28,阜新,1,0,小雨,6级,95
2013-03-01,阜新,32,24,晴,5级,55
2013-03-02,阜新,19,-9,阴,5级,74
2013-03-03,阜新,-7,6,中雨,2级,59
2013-03-04,阜新,34,23,多云,1级,4
2013-03-05,阜新,-9,-8,小雨,2级,100
2013-03-06,阜新,26,21,小雨,3级,90
2013-03-07,阜新,-7,-16,多云,6级,35
2013-03-08,阜新,-6,-5,中雨,6级,42
2013-03-09,阜新,10,-8,多云,2级,93
2013-03-10,阜新,-4,25,阴,2级,63
2013-03-11,阜新,3,20,雪,2级,83
2013-03-12,阜新,26,18,晴,3级,45
