城市,景点名称,景点类型,最佳季节,评分,门票价格,推荐游玩时长,简介,经度,纬度
沈阳市,莫子山公园,风景名胜,全年,4.7,免费,2-3小时,环山路,123.484796,41.670704
沈阳市,中央公园音乐喷泉,风景名胜,全年,4.7,免费,2-3小时,智慧二街浑南新城中央公园(南侧),123.455937,41.668943
沈阳市,白塔公园,风景名胜,全年,4.5,免费,2-3小时,浑南新区白塔堡,123.425321,41.693927
沈阳市,沈阳故宫博物院,风景名胜,全年,4.9,免费,2-3小时,沈阳路171号,123.455677,41.798387
沈阳市,弥陀寺,风景名胜,全年,4.3,免费,2-3小时,浑南新区白塔堡白塔公园内(南侧),123.425560,41.691514
沈阳市,张学良旧居陈列馆,风景名胜,全年,4.9,免费,2-3小时,朝阳街少帅府巷46号,123.457791,41.794058
沈阳市,浑南市民公园,风景名胜,全年,4.4,免费,2-3小时,南堤西路2号,123.439289,41.742602
沈阳市,沈阳科学宫,风景名胜,全年,4.7,免费,2-3小时,青年大街201号,123.436297,41.761323
沈阳市,铁西广场,风景名胜,全年,4.7,免费,2-3小时,兴华南街与建设东路交汇处,123.371026,41.793315
沈阳市,南湖公园,风景名胜,全年,4.7,免费,2-3小时,文化路1号,123.412767,41.771134
沈阳市,沈水湾公园,风景名胜,全年,4.6,免费,2-3小时,沈水路589号,123.419541,41.751388
沈阳市,老北市,风景名胜,全年,4.7,免费,2-3小时,皇寺路99号,123.425650,41.806730
沈阳市,五里河公园,风景名胜,全年,4.7,免费,2-3小时,沈水路(近富民街),123.468110,41.758702
沈阳市,北陵公园,风景名胜,全年,4.8,免费,2-3小时,泰山路12号,123.428469,41.851637
沈阳市,太清宫,风景名胜,全年,4.7,免费,2-3小时,西顺城街16号,123.447802,41.804425
沈阳市,铁西1905文化创意园,风景名胜,全年,4.7,免费,2-3小时,兴华北街8号(重型文化广场南侧),123.382444,41.812451
沈阳市,慈恩寺,风景名胜,全年,4.6,免费,2-3小时,大南街慈恩寺巷12号,123.460535,41.783483
沈阳市,氏族聚落,风景名胜,全年,3.3,免费,2-3小时,智慧三街157号,123.460772,41.678039
沈阳市,青年公园,风景名胜,全年,4.7,免费,2-3小时,风雨坛街道青年大街111号(近文艺路),123.438050,41.780985
